log_id,production_date,shift,equipment_id,product_code,planned_quantity,actual_quantity,good_quantity,defect_quantity,planned_time_min,actual_operating_time_min,setup_time_min,operator_id
LOG-00029,2024-01-02,주간,EQ-B03,PRD-004,699,699,687.0,12,480,422.0,20.0,OP-008
LOG-00030,2024-01-02,주간,EQ-B04,PRD-006,1224,1071,1065.0,6,480,381.5,20.0,OP-003
LOG-00031,2024-01-02,주간,EQ-C01,PRD-001,816,783,775.0,8,480,,25.0,OP-004
LOG-00032,2024-01-02,주간,EQ-C03,PRD-005,408,315,306.0,9,480,361.9,25.0,OP-009
LOG-00033,2024-01-02,주간,EQ-C04,PRD-006,1224,1062,1046.0,16,480,387.0,20.0,OP-012
LOG-00034,2024-01-02,야간,EQ-A02,PRD-001,816,569,553.0,16,480,354.2,30.0,OP-012
LOG-00035,2024-01-02,야간,EQ-A03,PRD-005,408,278,267.0,11,480,313.9,20.0,OP-007
LOG-00036,2024-01-02,야간,EQ-A04,PRD-006,1224,975,964.0,11,480,360.5,15.0,OP-003
LOG-00037,2024-01-02,야간,EQ-B01,PRD-003,979,993,984.0,9,480,444.3,25.0,OP-006
LOG-00038,2024-01-02,야간,EQ-B03,PRD-004,699,725,709.0,16,480,439.3,15.0,OP-006
LOG-00039,2024-01-02,야간,EQ-B04,PRD-006,1224,1280,1269.0,11,480,434.8,25.0,OP-013
LOG-00040,2024-01-02,야간,EQ-C01,PRD-002,544,458,449.0,9,480,371.5,15.0,OP-018
LOG-00041,2024-01-02,야간,EQ-C02,PRD-001,816,701,694.0,7,480,381.7,15.0,OP-011
LOG-00042,2024-01-02,야간,EQ-C03,PRD-004,699,567,547.0,20,480,359.2,15.0,OP-008
LOG-00043,2024-01-02,야간,EQ-C04,PRD-003,979,821,813.0,8,480,390.7,25.0,OP-011
LOG-00044,2024-01-03,주간,EQ-A02,PRD-002,544,456,442.0,14,480,388.2,15.0,OP-009
LOG-00045,2024-01-03,주간,EQ-A03,PRD-004,699,523,507.0,16,480,319.8,25.0,OP-007
LOG-00046,2024-01-03,주간,EQ-A04,PRD-006,1224,956,942.0,14,480,397.0,20.0,OP-007
LOG-00047,2024-01-03,주간,EQ-B01,PRD-003,979,1054,1046.0,8,480,439.4,20.0,OP-016
LOG-00048,2024-01-03,주간,EQ-B02,PRD-002,544,505,497.0,8,480,394.8,40.0,OP-015
LOG-00049,2024-01-03,주간,EQ-B03,PRD-004,699,734,721.0,13,480,445.2,30.0,OP-009
LOG-00050,2024-01-03,주간,EQ-B04,PRD-003,979,831,826.0,5,480,378.2,25.0,OP-008
LOG-00051,2024-01-03,주간,EQ-C01,PRD-003,979,928,912.0,16,480,422.2,,OP-018
LOG-00052,2024-01-03,주간,EQ-C02,PRD-003,979,949,941.0,8,480,418.7,20.0,OP-009
LOG-00053,2024-01-03,주간,EQ-C03,PRD-005,408,378,367.0,11,480,402.2,15.0,OP-019
LOG-00054,2024-01-03,주간,EQ-C04,PRD-006,1224,1070,1057.0,13,480,412.3,15.0,OP-012
LOG-00055,2024-01-03,야간,EQ-A01,PRD-001,816,598,589.0,9,480,349.4,15.0,OP-005
LOG-00056,2024-01-03,야간,EQ-A02,PRD-003,979,776,767.0,9,480,354.4,25.0,OP-016
LOG-00057,2024-01-03,야간,EQ-A03,PRD-004,699,414,397.0,17,480,305.6,25.0,OP-002
LOG-00058,2024-01-03,야간,EQ-A04,PRD-003,979,691,,7,480,340.3,20.0,OP-005
LOG-00059,2024-01-03,야간,EQ-B01,PRD-003,979,975,971.0,4,480,412.2,25.0,OP-006
LOG-00060,2024-01-03,야간,EQ-B02,PRD-003,979,1000,998.0,2,480,416.9,15.0,OP-014
LOG-00061,2024-01-03,야간,EQ-B03,PRD-004,699,643,631.0,12,480,406.0,15.0,OP-013
LOG-00062,2024-01-03,야간,EQ-B04,PRD-006,1224,1169,1159.0,10,480,403.9,15.0,OP-020
LOG-00063,2024-01-03,야간,EQ-C01,PRD-002,544,574,563.0,11,480,442.0,15.0,OP-017
LOG-00064,2024-01-03,야간,EQ-C02,PRD-002,544,424,414.0,10,480,369.0,15.0,OP-018
LOG-00065,2024-01-03,야간,EQ-C04,PRD-003,979,887,875.0,12,480,417.2,15.0,OP-004
LOG-00066,2024-01-04,주간,EQ-A01,PRD-003,979,833,825.0,8,480,388.2,40.0,OP-018
LOG-00067,2024-01-04,주간,EQ-A02,PRD-002,544,444,432.0,12,480,386.7,15.0,OP-011
LOG-00068,2024-01-04,주간,EQ-A03,PRD-004,699,431,420.0,11,480,315.1,30.0,OP-010
LOG-00069,2024-01-04,주간,EQ-A04,PRD-006,1224,910,905.0,5,480,383.5,30.0,OP-006
LOG-00070,2024-01-04,주간,EQ-B01,PRD-002,544,551,545.0,6,480,444.1,25.0,OP-001
LOG-00071,2024-01-04,주간,EQ-B02,PRD-003,979,1006,1000.0,6,480,451.5,15.0,OP-009
LOG-00072,2024-01-04,주간,EQ-B03,PRD-004,699,650,631.0,19,480,393.1,25.0,OP-017
LOG-00073,2024-01-04,주간,EQ-B04,PRD-003,979,1005,,20,480,442.3,15.0,OP-010
LOG-00074,2024-01-04,주간,EQ-C01,PRD-003,979,823,813.0,10,480,390.7,30.0,OP-017
LOG-00075,2024-01-04,주간,EQ-C02,PRD-003,979,768,761.0,7,480,353.8,40.0,OP-007
LOG-00076,2024-01-04,주간,EQ-C03,PRD-004,699,639,629.0,10,480,428.9,15.0,OP-012
LOG-00077,2024-01-04,주간,EQ-C04,PRD-003,979,808,807.0,1,480,396.4,15.0,OP-018
LOG-00078,2024-01-04,야간,EQ-A02,PRD-003,979,747,737.0,10,480,367.7,15.0,OP-001
LOG-00079,2024-01-04,야간,EQ-A03,PRD-005,408,289,273.0,16,480,327.8,15.0,OP-016
LOG-00080,2024-01-04,야간,EQ-A04,PRD-003,979,673,663.0,10,480,337.4,20.0,OP-004
LOG-00081,2024-01-04,야간,EQ-B01,PRD-002,544,515,506.0,9,480,408.3,15.0,OP-010
LOG-00082,2024-01-04,야간,EQ-B02,PRD-001,816,790,784.0,6,480,407.7,25.0,OP-002
LOG-00083,2024-01-04,야간,EQ-B03,PRD-004,699,711,701.0,10,480,456.5,15.0,OP-019
LOG-00084,2024-01-04,야간,EQ-B04,PRD-003,979,1068,1066.0,2,480,454.4,20.0,OP-003
LOG-00085,2024-01-04,야간,EQ-C01,PRD-003,979,886,867.0,19,480,406.3,25.0,OP-016
LOG-00086,2024-01-04,야간,EQ-C02,PRD-001,816,691,678.0,13,480,409.1,15.0,OP-018
LOG-00087,2024-01-04,야간,EQ-C03,PRD-004,699,703,684.0,19,480,421.9,25.0,OP-005
LOG-00088,2024-01-04,야간,EQ-C04,PRD-006,1224,1054,1039.0,15,480,412.4,15.0,OP-018
LOG-00089,2024-01-05,주간,EQ-A01,PRD-001,816,717,701.0,16,480,413.6,30.0,OP-009
LOG-00090,2024-01-05,주간,EQ-A02,PRD-003,979,728,720.0,8,480,342.1,15.0,OP-020
LOG-00091,2024-01-05,주간,EQ-A03,PRD-005,408,283,274.0,9,480,309.1,20.0,OP-007
LOG-00092,2024-01-05,주간,EQ-A04,PRD-003,979,750,738.0,12,480,363.2,25.0,OP-010
LOG-00093,2024-01-05,주간,EQ-B01,PRD-002,544,567,557.0,10,480,446.2,15.0,OP-012
LOG-00094,2024-01-05,주간,EQ-B02,PRD-002,544,496,487.0,9,480,416.5,20.0,OP-017
LOG-00095,2024-01-05,주간,EQ-B04,PRD-006,1224,1307,1295.0,12,480,455.2,20.0,OP-004
LOG-00096,2024-01-05,주간,EQ-C01,PRD-001,816,744,728.0,16,480,419.0,20.0,OP-008
LOG-00097,2024-01-05,주간,EQ-C02,PRD-001,816,783,777.0,6,480,440.5,15.0,OP-011
LOG-00098,2024-01-05,주간,EQ-C03,PRD-004,699,625,613.0,12,480,375.6,20.0,OP-019
LOG-00099,2024-01-05,주간,EQ-C04,PRD-003,979,879,870.0,9,480,391.4,25.0,OP-019
LOG-00100,2024-01-05,야간,EQ-A01,PRD-001,816,650,632.0,18,480,380.8,15.0,OP-001
LOG-00101,2024-01-05,야간,EQ-A02,PRD-001,816,673,660.0,13,480,393.1,25.0,OP-002
LOG-00102,2024-01-05,야간,EQ-A04,PRD-003,979,831,815.0,16,480,384.2,15.0,OP-003
LOG-00103,2024-01-05,야간,EQ-B01,PRD-001,816,753,752.0,1,480,396.8,15.0,OP-011
LOG-00104,2024-01-05,야간,EQ-B02,PRD-001,816,760,749.0,11,480,396.1,15.0,OP-017
LOG-00105,2024-01-05,야간,EQ-B03,PRD-004,699,739,724.0,15,480,431.2,25.0,OP-009
LOG-00106,2024-01-05,야간,EQ-B04,PRD-006,1224,1169,1167.0,2,480,397.0,15.0,OP-007
LOG-00107,2024-01-05,야간,EQ-C01,PRD-003,979,845,831.0,14,480,394.4,20.0,OP-005
LOG-00108,2024-01-05,야간,EQ-C03,PRD-005,408,318,309.0,9,480,348.4,25.0,OP-008
LOG-00109,2024-01-05,야간,EQ-C04,PRD-006,1224,1024,1005.0,19,480,369.6,25.0,OP-014
LOG-00110,2024-01-06,주간,EQ-A01,PRD-001,816,667,656.0,11,480,372.0,20.0,OP-004
LOG-00111,2024-01-06,주간,EQ-A02,PRD-001,816,681,673.0,8,480,389.2,20.0,OP-014
LOG-00112,2024-01-06,주간,EQ-A03,PRD-005,408,268,256.0,12,480,323.6,15.0,OP-014
LOG-00113,2024-01-06,주간,EQ-A04,PRD-006,1224,1029,1015.0,14,480,382.3,25.0,OP-015
LOG-00114,2024-01-06,주간,EQ-B01,PRD-003,979,997,996.0,1,480,438.6,20.0,OP-002
LOG-00115,2024-01-06,주간,EQ-B02,PRD-003,979,830,821.0,9,480,405.7,25.0,OP-004
LOG-00116,2024-01-06,주간,EQ-B03,PRD-004,699,669,660.0,9,480,411.8,,OP-013
LOG-00117,2024-01-06,주간,EQ-B04,PRD-006,1224,1164,1161.0,3,480,420.7,15.0,OP-004
LOG-00118,2024-01-06,주간,EQ-C01,PRD-001,816,764,750.0,14,480,395.9,15.0,OP-007
LOG-00119,2024-01-06,주간,EQ-C02,PRD-001,816,783,767.0,16,480,419.1,20.0,OP-018
LOG-00120,2024-01-08,주간,EQ-A01,PRD-002,544,443,431.0,12,480,383.3,15.0,OP-005
LOG-00121,2024-01-08,주간,EQ-A02,PRD-002,544,502,489.0,13,480,420.1,15.0,OP-006
LOG-00122,2024-01-08,주간,EQ-A03,PRD-005,408,302,290.0,12,480,338.1,20.0,OP-015
LOG-00123,2024-01-08,주간,EQ-B01,PRD-001,816,758,756.0,2,480,379.1,25.0,OP-003
LOG-00124,2024-01-08,주간,EQ-B02,PRD-002,544,518,512.0,6,480,402.9,25.0,OP-018
LOG-00125,2024-01-08,주간,EQ-B03,PRD-004,699,603,598.0,5,480,372.0,30.0,OP-002
LOG-00126,2024-01-08,주간,EQ-B04,PRD-003,979,1007,1003.0,4,480,422.2,25.0,OP-003
LOG-00127,2024-01-08,주간,EQ-C01,PRD-001,816,620,609.0,11,480,337.3,30.0,OP-006
LOG-00128,2024-01-08,주간,EQ-C02,PRD-002,544,458,450.0,8,480,359.2,25.0,OP-016
LOG-00129,2024-01-08,주간,EQ-C03,PRD-005,408,342,332.0,10,480,388.8,30.0,OP-007
LOG-00130,2024-01-08,주간,EQ-C04,PRD-006,1224,968,957.0,11,480,352.8,40.0,OP-002
LOG-00131,2024-01-08,야간,EQ-A01,PRD-001,816,608,594.0,14,480,336.5,25.0,OP-013
LOG-00132,2024-01-08,야간,EQ-A02,PRD-001,816,594,575.0,19,480,338.4,,OP-013
LOG-00133,2024-01-08,야간,EQ-A03,PRD-005,408,266,256.0,10,480,294.8,25.0,OP-015
LOG-00134,2024-01-08,야간,EQ-A04,PRD-006,1224,967,946.0,21,480,361.1,30.0,OP-014
LOG-00135,2024-01-08,야간,EQ-B01,PRD-003,979,1004,,9,480,429.3,20.0,OP-018
LOG-00136,2024-01-08,야간,EQ-B02,PRD-003,979,824,818.0,6,480,387.3,20.0,OP-016
LOG-00137,2024-01-08,야간,EQ-B03,PRD-004,699,549,538.0,11,480,348.0,30.0,OP-007
LOG-00138,2024-01-08,야간,EQ-B04,PRD-006,1224,238,234.0,4,480,,25.0,OP-007
LOG-00139,2024-01-08,야간,EQ-C01,PRD-001,816,687,676.0,11,480,371.9,30.0,OP-019
LOG-00140,2024-01-08,야간,EQ-C02,PRD-003,979,782,772.0,10,480,391.3,30.0,OP-018
LOG-00141,2024-01-08,야간,EQ-C03,PRD-004,699,582,565.0,17,480,364.7,20.0,OP-011
LOG-00142,2024-01-08,야간,EQ-C04,PRD-003,979,825,815.0,10,480,370.5,15.0,OP-002
LOG-00143,2024-01-09,주간,EQ-A01,PRD-003,979,814,801.0,13,480,391.2,30.0,OP-016
LOG-00144,2024-01-09,주간,EQ-A03,PRD-004,699,453,438.0,15,480,318.4,20.0,OP-002
LOG-00145,2024-01-09,주간,EQ-A04,PRD-003,979,933,922.0,11,480,401.7,15.0,OP-006
LOG-00146,2024-01-09,주간,EQ-B01,PRD-001,816,875,858.0,17,480,450.2,25.0,OP-020
LOG-00147,2024-01-09,주간,EQ-B02,PRD-001,816,740,731.0,9,480,411.0,15.0,OP-008
LOG-00148,2024-01-09,주간,EQ-B03,PRD-005,408,379,370.0,9,480,379.3,25.0,OP-004
LOG-00149,2024-01-09,주간,EQ-B04,PRD-003,979,922,919.0,3,480,430.7,15.0,OP-019
LOG-00150,2024-01-09,주간,EQ-C01,PRD-003,979,993,983.0,10,480,432.3,15.0,OP-002
LOG-00151,2024-01-09,주간,EQ-C02,PRD-003,979,954,949.0,5,480,419.6,15.0,OP-003
LOG-00152,2024-01-09,주간,EQ-C03,PRD-005,408,337,323.0,14,480,365.7,20.0,OP-019
LOG-00153,2024-01-09,주간,EQ-C04,PRD-006,1224,1085,1073.0,12,480,399.6,20.0,OP-009
LOG-00154,2024-01-09,야간,EQ-A01,PRD-001,816,645,631.0,14,480,366.7,25.0,OP-011
LOG-00155,2024-01-09,야간,EQ-A02,PRD-001,816,725,713.0,12,480,402.4,,OP-009
LOG-00156,2024-01-09,야간,EQ-A03,PRD-005,408,278,265.0,13,480,318.3,20.0,OP-005
LOG-00157,2024-01-09,야간,EQ-A04,PRD-006,1224,1130,1115.0,15,480,405.7,15.0,OP-015
LOG-00158,2024-01-09,야간,EQ-B01,PRD-002,544,558,549.0,9,480,452.8,15.0,OP-003
LOG-00159,2024-01-09,야간,EQ-B02,PRD-001,816,773,768.0,5,480,434.8,20.0,OP-015
LOG-00160,2024-01-09,야간,EQ-B03,PRD-004,699,653,647.0,6,480,411.6,15.0,OP-003
LOG-00161,2024-01-09,야간,EQ-B04,PRD-003,979,972,958.0,14,480,416.6,15.0,OP-017
LOG-00162,2024-01-09,야간,EQ-C01,PRD-002,544,437,431.0,6,480,384.2,20.0,OP-005
LOG-00163,2024-01-09,야간,EQ-C02,PRD-002,544,495,479.0,16,480,378.5,15.0,OP-003
LOG-00164,2024-01-09,야간,EQ-C04,PRD-003,979,829,813.0,16,480,378.5,15.0,OP-012
LOG-00165,2024-01-10,주간,EQ-A03,PRD-005,408,298,286.0,12,480,320.9,15.0,OP-006
LOG-00166,2024-01-10,주간,EQ-A04,PRD-006,1224,1102,1081.0,21,480,406.4,15.0,OP-018
LOG-00167,2024-01-10,주간,EQ-B01,PRD-003,979,884,871.0,13,480,387.6,40.0,OP-010
LOG-00168,2024-01-10,주간,EQ-B02,PRD-003,979,989,988.0,1,480,445.2,30.0,OP-017
LOG-00169,2024-01-10,주간,EQ-B03,PRD-004,699,681,667.0,14,480,421.7,25.0,OP-018
LOG-00170,2024-01-10,주간,EQ-B04,PRD-006,1224,1234,1220.0,14,480,418.0,30.0,OP-004
LOG-00171,2024-01-10,주간,EQ-C02,PRD-001,816,701,687.0,14,480,397.2,30.0,OP-009
LOG-00172,2024-01-10,주간,EQ-C03,PRD-004,699,641,624.0,17,480,398.1,20.0,OP-004
LOG-00173,2024-01-10,주간,EQ-C04,PRD-003,979,804,790.0,14,480,382.6,30.0,OP-009
LOG-00174,2024-01-10,야간,EQ-A01,PRD-002,544,427,413.0,14,480,378.5,15.0,OP-020
LOG-00175,2024-01-10,야간,EQ-A02,PRD-001,816,682,672.0,10,480,,30.0,OP-011
LOG-00176,2024-01-10,야간,EQ-A03,PRD-004,699,423,402.0,21,480,288.3,15.0,OP-009
LOG-00177,2024-01-10,야간,EQ-A04,PRD-006,1224,1066,1055.0,11,480,393.6,15.0,OP-009
LOG-00178,2024-01-10,야간,EQ-B01,PRD-001,816,744,735.0,9,480,411.9,20.0,OP-003
LOG-00179,2024-01-10,야간,EQ-B02,PRD-003,979,917,910.0,7,480,382.4,25.0,OP-014
LOG-00180,2024-01-10,야간,EQ-B03,PRD-005,408,370,364.0,6,480,389.0,20.0,OP-002
LOG-00181,2024-01-10,야간,EQ-B04,PRD-003,979,945,937.0,8,480,424.3,20.0,OP-011
LOG-00182,2024-01-10,야간,EQ-C01,PRD-001,816,819,800.0,19,480,435.5,15.0,OP-009
LOG-00183,2024-01-10,야간,EQ-C02,PRD-001,816,716,699.0,17,480,387.6,,OP-015
LOG-00184,2024-01-10,야간,EQ-C03,PRD-005,408,313,301.0,12,480,386.5,15.0,OP-018
LOG-00185,2024-01-10,야간,EQ-C04,PRD-003,979,736,725.0,11,480,345.5,25.0,OP-004
LOG-00186,2024-01-11,주간,EQ-A01,PRD-001,816,583,574.0,9,480,343.5,20.0,OP-005
LOG-00187,2024-01-11,주간,EQ-A02,PRD-003,979,783,778.0,5,480,377.8,20.0,OP-002
LOG-00188,2024-01-11,주간,EQ-A03,PRD-005,408,239,228.0,11,480,265.1,20.0,OP-019
LOG-00189,2024-01-11,주간,EQ-A04,PRD-003,979,738,728.0,10,480,363.1,15.0,OP-014
LOG-00190,2024-01-11,주간,EQ-B01,PRD-001,816,896,886.0,10,480,455.2,20.0,OP-002
LOG-00191,2024-01-11,주간,EQ-B02,PRD-002,544,510,498.0,12,480,429.3,15.0,OP-012
LOG-00192,2024-01-11,주간,EQ-B03,PRD-004,699,700,683.0,17,480,442.5,25.0,OP-012
LOG-00193,2024-01-11,주간,EQ-B04,PRD-003,979,924,917.0,7,480,398.7,20.0,OP-008
LOG-00194,2024-01-11,주간,EQ-C01,PRD-003,979,944,,14,480,436.5,15.0,OP-004
LOG-00195,2024-01-11,주간,EQ-C02,PRD-002,544,486,476.0,10,480,407.3,15.0,OP-018
LOG-00196,2024-01-11,주간,EQ-C03,PRD-005,408,412,400.0,12,480,429.2,20.0,OP-020
LOG-00197,2024-01-11,주간,EQ-C04,PRD-003,979,812,799.0,13,480,388.2,20.0,OP-008
LOG-00198,2024-01-11,야간,EQ-A01,PRD-001,816,675,656.0,19,480,405.5,15.0,OP-006
LOG-00199,2024-01-11,야간,EQ-A02,PRD-002,544,418,408.0,10,480,379.9,25.0,OP-001
LOG-00200,2024-01-11,야간,EQ-A03,PRD-004,699,471,451.0,20,480,304.3,25.0,OP-011
LOG-00201,2024-01-11,야간,EQ-A04,PRD-006,1224,1024,1012.0,12,480,390.6,20.0,OP-008
LOG-00202,2024-01-11,야간,EQ-B01,PRD-002,544,522,511.0,11,480,399.8,30.0,OP-006
LOG-00203,2024-01-11,야간,EQ-B02,PRD-003,979,1021,1012.0,9,480,425.8,15.0,OP-004
LOG-00204,2024-01-11,야간,EQ-B03,PRD-005,408,404,390.0,14,480,409.7,15.0,OP-002
LOG-00205,2024-01-11,야간,EQ-C01,PRD-002,544,437,427.0,10,480,360.4,30.0,OP-008
LOG-00206,2024-01-11,야간,EQ-C02,PRD-001,816,780,768.0,12,480,403.4,20.0,OP-015
LOG-00207,2024-01-11,야간,EQ-C03,PRD-005,408,341,330.0,11,480,363.7,20.0,OP-010
LOG-00208,2024-01-11,야간,EQ-C04,PRD-003,979,706,699.0,7,480,325.3,25.0,OP-008
LOG-00209,2024-01-12,주간,EQ-A01,PRD-001,816,594,586.0,8,480,,,OP-007
LOG-00210,2024-01-12,주간,EQ-A03,PRD-005,408,284,272.0,12,480,319.1,20.0,OP-011
LOG-00211,2024-01-12,주간,EQ-A04,PRD-006,1224,930,910.0,20,480,365.9,20.0,OP-003
LOG-00212,2024-01-12,주간,EQ-B01,PRD-002,544,537,528.0,9,480,420.1,20.0,OP-012
LOG-00213,2024-01-12,주간,EQ-B03,PRD-005,408,388,381.0,7,480,420.1,25.0,OP-018
LOG-00214,2024-01-12,주간,EQ-C02,PRD-002,544,427,416.0,11,480,,30.0,OP-001
LOG-00215,2024-01-12,주간,EQ-C03,PRD-004,699,659,643.0,16,480,,15.0,OP-009
LOG-00216,2024-01-12,주간,EQ-C04,PRD-003,979,757,747.0,10,480,379.7,20.0,OP-019
LOG-00217,2024-01-12,야간,EQ-A01,PRD-002,544,374,362.0,12,480,336.3,25.0,OP-002
LOG-00218,2024-01-12,야간,EQ-A02,PRD-001,816,708,690.0,18,480,375.7,20.0,OP-020
LOG-00219,2024-01-12,야간,EQ-A03,PRD-005,408,264,255.0,9,480,307.5,15.0,OP-012
LOG-00220,2024-01-12,야간,EQ-A04,PRD-006,1224,1126,1112.0,14,480,393.1,20.0,OP-014
LOG-00221,2024-01-12,야간,EQ-B01,PRD-003,979,876,875.0,1,480,390.6,15.0,OP-017
LOG-00222,2024-01-12,야간,EQ-B02,PRD-001,816,707,703.0,4,480,398.5,25.0,OP-013
LOG-00223,2024-01-12,야간,EQ-B03,PRD-004,699,696,685.0,11,480,406.7,20.0,OP-009
LOG-00224,2024-01-12,야간,EQ-B04,PRD-003,979,883,865.0,18,480,391.2,20.0,OP-014
LOG-00225,2024-01-12,야간,EQ-C01,PRD-001,816,656,650.0,6,480,382.3,15.0,OP-017
LOG-00226,2024-01-12,야간,EQ-C02,PRD-003,979,857,846.0,11,480,398.8,15.0,OP-007
LOG-00227,2024-01-12,야간,EQ-C03,PRD-005,408,348,339.0,9,480,377.7,30.0,OP-014
LOG-00228,2024-01-12,야간,EQ-C04,PRD-003,979,844,836.0,8,480,367.8,20.0,OP-011
LOG-00229,2024-01-13,주간,EQ-A01,PRD-003,979,818,808.0,10,480,391.6,30.0,OP-011
LOG-00230,2024-01-13,주간,EQ-A02,PRD-003,979,864,849.0,15,480,392.7,25.0,OP-004
LOG-00231,2024-01-13,주간,EQ-A03,PRD-005,408,298,286.0,12,480,327.3,15.0,OP-017
LOG-00232,2024-01-13,주간,EQ-A04,PRD-006,1224,969,956.0,13,480,380.8,30.0,OP-014
LOG-00233,2024-01-13,주간,EQ-B01,PRD-002,544,521,513.0,8,480,414.2,30.0,OP-013
LOG-00234,2024-01-13,주간,EQ-B02,PRD-003,979,998,994.0,4,480,441.2,15.0,OP-010
LOG-00235,2024-01-13,주간,EQ-B03,PRD-004,699,693,679.0,14,480,414.9,20.0,OP-007
LOG-00236,2024-01-13,주간,EQ-B04,PRD-006,1224,1266,1265.0,1,480,422.2,20.0,OP-013
LOG-00237,2024-01-13,주간,EQ-C01,PRD-003,979,932,927.0,5,480,403.3,20.0,OP-006
LOG-00238,2024-01-13,주간,EQ-C03,PRD-005,408,380,369.0,11,480,419.0,20.0,OP-013
LOG-00239,2024-01-15,주간,EQ-A01,PRD-003,979,794,781.0,13,480,358.0,15.0,OP-001
LOG-00240,2024-01-15,주간,EQ-A02,PRD-002,544,422,407.0,15,480,361.9,,OP-010
LOG-00241,2024-01-15,주간,EQ-A03,PRD-004,699,505,492.0,13,480,334.8,25.0,OP-014
LOG-00242,2024-01-15,주간,EQ-A04,PRD-006,1224,871,860.0,11,480,379.0,40.0,OP-015
LOG-00243,2024-01-15,주간,EQ-B01,PRD-002,544,551,544.0,7,480,441.2,30.0,OP-015
LOG-00244,2024-01-15,주간,EQ-B02,PRD-003,979,1104,1091.0,13,480,460.2,15.0,OP-007
LOG-00245,2024-01-15,주간,EQ-B03,PRD-005,408,361,356.0,5,480,,15.0,OP-006
LOG-00246,2024-01-15,주간,EQ-C01,PRD-003,979,776,769.0,7,480,,20.0,OP-003
LOG-00247,2024-01-15,주간,EQ-C02,PRD-002,544,462,452.0,10,480,,25.0,OP-017
LOG-00248,2024-01-15,주간,EQ-C03,PRD-005,408,368,355.0,13,480,,15.0,OP-003
LOG-00249,2024-01-15,주간,EQ-C04,PRD-003,979,875,874.0,1,480,396.8,25.0,OP-010
LOG-00250,2024-01-15,야간,EQ-A01,PRD-001,816,606,592.0,14,480,344.1,20.0,OP-007
LOG-00251,2024-01-15,야간,EQ-A02,PRD-001,816,711,694.0,17,480,394.8,20.0,OP-001
