operation_id,equipment_id,start_time,end_time,operation_status,stop_reason,stop_category,operator_id,notes,created_at
52,PRESS-001,2024-01-02 18:58:37,2024-01-02 21:42:52,RUNNING,,,OP001,,2026-01-30 00:43:52
53,PRESS-001,2024-01-02 21:51:52,2024-01-02 23:02:09,RUNNING,,,OP005,,2026-01-30 00:43:52
54,PRESS-001,2024-01-02 23:12:09,2024-01-02 23:59:59,RUNNING,,,OP006,,2026-01-30 00:43:52
55,PRESS-002,2024-01-02 08:00:00,2024-01-02 09:30:33,BREAKDOWN,모터 고장,고장정지,OP009,,2026-01-30 00:43:52
56,PRESS-002,2024-01-02 09:40:33,2024-01-02 12:32:03,RUNNING,,,OP001,,2026-01-30 00:43:52
57,PRESS-002,2024-01-02 12:39:03,2024-01-02 16:27:18,RUNNING,,,OP003,,2026-01-30 00:43:52
58,PRESS-002,2024-01-02 16:31:18,2024-01-02 18:14:15,RUNNING,,,OP003,,2026-01-30 00:43:52
59,PRESS-002,2024-01-02 18:21:15,2024-01-02 20:43:33,RUNNING,,,OP003,,2026-01-30 00:43:52
60,PRESS-002,2024-01-02 20:45:33,2024-01-02 23:59:59,RUNNING,,,OP006,,2026-01-30 00:43:52
61,ASM-001,2024-01-02 08:00:00,2024-01-02 09:23:50,RUNNING,,,OP003,,2026-01-30 00:43:52
62,ASM-001,2024-01-02 09:29:50,2024-01-02 10:02:52,IDLE,자재 대기,자재대기,OP002,,2026-01-30 00:43:52
63,ASM-001,2024-01-02 10:11:52,2024-01-02 10:55:55,IDLE,휴식,계획정지,OP001,,2026-01-30 00:43:52
64,ASM-001,2024-01-02 11:04:55,2024-01-02 14:53:56,RUNNING,,,OP001,,2026-01-30 00:43:52
65,ASM-001,2024-01-02 14:56:56,2024-01-02 18:10:34,RUNNING,,,OP001,,2026-01-30 00:43:52
66,ASM-001,2024-01-02 18:13:34,2024-01-02 21:22:44,RUNNING,,,OP002,,2026-01-30 00:43:52
67,INJ-001,2024-01-03 08:00:00,2024-01-03 11:42:57,RUNNING,,,OP003,,2026-01-30 00:43:52
68,INJ-001,2024-01-03 11:43:57,2024-01-03 15:13:14,RUNNING,,,OP010,,2026-01-30 00:43:52
69,INJ-001,2024-01-03 15:14:14,2024-01-03 18:08:55,RUNNING,,,OP002,,2026-01-30 00:43:52
70,INJ-001,2024-01-03 18:13:55,2024-01-03 20:53:13,RUNNING,,,OP010,,2026-01-30 00:43:52
71,INJ-001,2024-01-03 21:00:13,2024-01-03 22:13:46,RUNNING,,,OP004,,2026-01-30 00:43:52
72,INJ-001,2024-01-03 22:16:46,2024-01-03 23:59:59,RUNNING,,,OP005,,2026-01-30 00:43:52
73,INJ-002,2024-01-03 08:00:00,2024-01-03 10:05:38,RUNNING,,,OP003,,2026-01-30 00:43:52
74,INJ-002,2024-01-03 10:06:38,2024-01-03 11:38:28,MAINTENANCE,예방 정비,계획정지,OP009,,2026-01-30 00:43:52
75,INJ-002,2024-01-03 11:47:28,2024-01-03 12:43:54,IDLE,휴식,계획정지,OP002,,2026-01-30 00:43:52
76,INJ-002,2024-01-03 12:47:54,2024-01-03 13:01:05,IDLE,작업 지시 대기,기타,OP010,,2026-01-30 00:43:52
77,INJ-002,2024-01-03 13:07:05,2024-01-03 13:26:44,IDLE,작업 지시 대기,기타,OP003,,2026-01-30 00:43:52
78,INJ-002,2024-01-03 13:28:44,2024-01-03 17:03:16,RUNNING,,,OP001,,2026-01-30 00:43:52
79,INJ-002,2024-01-03 17:07:16,2024-01-03 19:10:13,RUNNING,,,OP010,,2026-01-30 00:43:52
80,INJ-002,2024-01-03 19:14:13,2024-01-03 21:25:56,RUNNING,,,OP002,,2026-01-30 00:43:52
81,INJ-002,2024-01-03 21:30:56,2024-01-03 22:13:44,IDLE,전공정 대기,기타,OP005,,2026-01-30 00:43:52
82,PRESS-001,2024-01-03 08:00:00,2024-01-03 09:20:45,RUNNING,,,OP001,,2026-01-30 00:43:52
83,PRESS-001,2024-01-03 09:25:45,2024-01-03 10:32:38,RUNNING,,,OP003,,2026-01-30 00:43:52
84,PRESS-001,2024-01-03 10:42:38,2024-01-03 13:01:11,RUNNING,,,OP003,,2026-01-30 00:43:52
85,PRESS-001,2024-01-03 13:10:11,2024-01-03 14:56:02,RUNNING,,,OP002,,2026-01-30 00:43:52
86,PRESS-001,2024-01-03 15:03:02,2024-01-03 17:08:36,RUNNING,,,OP002,,2026-01-30 00:43:52
87,PRESS-001,2024-01-03 17:10:36,2024-01-03 17:54:27,IDLE,휴식,계획정지,OP003,,2026-01-30 00:43:52
88,PRESS-001,2024-01-03 17:56:27,2024-01-03 18:24:06,IDLE,전공정 대기,기타,OP010,,2026-01-30 00:43:52
89,PRESS-001,2024-01-03 18:29:06,2024-01-03 20:44:47,RUNNING,,,OP002,,2026-01-30 00:43:52
90,PRESS-001,2024-01-03 20:51:47,2024-01-03 23:42:34,RUNNING,,,OP004,,2026-01-30 00:43:52
91,PRESS-001,2024-01-03 23:47:34,2024-01-03 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
92,PRESS-002,2024-01-03 08:00:00,2024-01-03 08:33:12,IDLE,전공정 대기,기타,OP010,,2026-01-30 00:43:52
93,PRESS-002,2024-01-03 08:37:12,2024-01-03 11:35:47,RUNNING,,,OP002,,2026-01-30 00:43:52
94,PRESS-002,2024-01-03 11:40:47,2024-01-03 12:57:36,RUNNING,,,OP003,,2026-01-30 00:43:52
95,PRESS-002,2024-01-03 13:01:36,2024-01-03 16:26:47,RUNNING,,,OP002,,2026-01-30 00:43:52
96,PRESS-002,2024-01-03 16:29:47,2024-01-03 20:26:53,RUNNING,,,OP002,,2026-01-30 00:43:52
97,PRESS-002,2024-01-03 20:36:53,2024-01-03 22:54:39,BREAKDOWN,전기 이상,고장정지,OP009,,2026-01-30 00:43:52
98,PRESS-002,2024-01-03 23:01:39,2024-01-03 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
99,ASM-001,2024-01-03 08:00:00,2024-01-03 08:21:36,SETUP,설정 변경,계획정지,OP010,,2026-01-30 00:43:52
100,ASM-001,2024-01-03 08:25:36,2024-01-03 09:31:40,SETUP,제품 변경,계획정지,OP010,,2026-01-30 00:43:52
101,ASM-001,2024-01-03 09:40:40,2024-01-03 12:30:57,RUNNING,,,OP010,,2026-01-30 00:43:52
102,ASM-001,2024-01-03 12:39:57,2024-01-03 16:21:27,RUNNING,,,OP010,,2026-01-30 00:43:52
103,ASM-001,2024-01-03 16:29:27,2024-01-03 20:00:37,RUNNING,,,OP002,,2026-01-30 00:43:52
104,ASM-001,2024-01-03 20:05:37,2024-01-03 20:21:21,IDLE,전공정 대기,기타,OP005,,2026-01-30 00:43:52
105,INJ-001,2024-01-04 08:00:00,2024-01-04 11:40:44,RUNNING,,,OP003,,2026-01-30 00:43:52
106,INJ-001,2024-01-04 11:42:44,2024-01-04 13:51:41,RUNNING,,,OP002,,2026-01-30 00:43:52
107,INJ-001,2024-01-04 13:54:41,2024-01-04 15:46:04,BREAKDOWN,전기 이상,고장정지,OP009,,2026-01-30 00:43:52
108,INJ-001,2024-01-04 15:53:04,2024-01-04 18:03:11,RUNNING,,,OP010,,2026-01-30 00:43:52
109,INJ-001,2024-01-04 18:13:11,2024-01-04 19:54:44,BREAKDOWN,기계 파손,고장정지,OP009,,2026-01-30 00:43:52
110,INJ-001,2024-01-04 20:00:44,2024-01-04 23:34:21,RUNNING,,,OP005,,2026-01-30 00:43:52
111,INJ-001,2024-01-04 23:41:21,2024-01-04 23:59:59,RUNNING,,,OP006,,2026-01-30 00:43:52
112,INJ-002,2024-01-04 08:00:00,2024-01-04 10:18:27,RUNNING,,,OP003,,2026-01-30 00:43:52
113,INJ-002,2024-01-04 10:19:27,2024-01-04 13:29:48,RUNNING,,,OP010,,2026-01-30 00:43:52
114,INJ-002,2024-01-04 13:37:48,2024-01-04 14:33:20,IDLE,휴식,계획정지,OP001,,2026-01-30 00:43:52
115,INJ-002,2024-01-04 14:43:20,2024-01-04 15:58:26,RUNNING,,,OP001,,2026-01-30 00:43:52
116,INJ-002,2024-01-04 16:05:26,2024-01-04 17:38:09,RUNNING,,,OP010,,2026-01-30 00:43:52
117,INJ-002,2024-01-04 17:43:09,2024-01-04 20:05:00,RUNNING,,,OP002,,2026-01-30 00:43:52
118,INJ-002,2024-01-04 20:11:00,2024-01-04 21:03:04,IDLE,점심시간,계획정지,OP005,,2026-01-30 00:43:52
119,PRESS-001,2024-01-04 08:00:00,2024-01-04 10:07:31,BREAKDOWN,센서 오류,고장정지,OP009,,2026-01-30 00:43:52
120,PRESS-001,2024-01-04 10:08:31,2024-01-04 10:50:20,IDLE,작업 지시 대기,기타,OP001,,2026-01-30 00:43:52
121,PRESS-001,2024-01-04 10:54:20,2024-01-04 13:35:51,RUNNING,,,OP001,,2026-01-30 00:43:52
122,PRESS-001,2024-01-04 13:39:51,2024-01-04 16:57:54,RUNNING,,,OP003,,2026-01-30 00:43:52
123,PRESS-001,2024-01-04 17:00:54,2024-01-04 20:20:54,RUNNING,,,OP001,,2026-01-30 00:43:52
124,PRESS-001,2024-01-04 20:23:54,2024-01-04 21:23:21,SETUP,금형 교체,계획정지,OP005,,2026-01-30 00:43:52
125,PRESS-002,2024-01-04 08:00:00,2024-01-04 08:25:20,SETUP,설정 변경,계획정지,OP002,,2026-01-30 00:43:52
126,PRESS-002,2024-01-04 08:30:20,2024-01-04 08:59:00,IDLE,자재 대기,자재대기,OP001,,2026-01-30 00:43:52
127,PRESS-002,2024-01-04 09:06:00,2024-01-04 11:37:04,RUNNING,,,OP001,,2026-01-30 00:43:52
128,PRESS-002,2024-01-04 11:43:04,2024-01-04 15:11:05,RUNNING,,,OP010,,2026-01-30 00:43:52
129,PRESS-002,2024-01-04 15:13:05,2024-01-04 18:07:30,RUNNING,,,OP003,,2026-01-30 00:43:52
130,PRESS-002,2024-01-04 18:15:30,2024-01-04 18:57:03,IDLE,휴식,계획정지,OP003,,2026-01-30 00:43:52
131,PRESS-002,2024-01-04 19:06:03,2024-01-04 19:33:32,IDLE,휴식,계획정지,OP003,,2026-01-30 00:43:52
132,PRESS-002,2024-01-04 19:37:32,2024-01-04 22:00:06,BREAKDOWN,전기 이상,고장정지,OP009,,2026-01-30 00:43:52
133,PRESS-002,2024-01-04 22:10:06,2024-01-04 23:59:59,RUNNING,,,OP005,,2026-01-30 00:43:52
134,ASM-001,2024-01-04 08:00:00,2024-01-04 10:03:52,RUNNING,,,OP002,,2026-01-30 00:43:52
135,ASM-001,2024-01-04 10:08:52,2024-01-04 12:48:54,RUNNING,,,OP003,,2026-01-30 00:43:52
136,ASM-001,2024-01-04 12:57:54,2024-01-04 14:51:11,BREAKDOWN,전기 이상,고장정지,OP009,,2026-01-30 00:43:52
137,ASM-001,2024-01-04 14:55:11,2024-01-04 17:15:51,RUNNING,,,OP010,,2026-01-30 00:43:52
138,ASM-001,2024-01-04 17:16:51,2024-01-04 19:29:39,RUNNING,,,OP002,,2026-01-30 00:43:52
139,ASM-001,2024-01-04 19:33:39,2024-01-04 21:58:50,RUNNING,,,OP003,,2026-01-30 00:43:52
140,ASM-001,2024-01-04 22:07:50,2024-01-04 23:59:59,RUNNING,,,OP006,,2026-01-30 00:43:52
141,INJ-001,2024-01-05 08:00:00,2024-01-05 09:41:29,RUNNING,,,OP003,,2026-01-30 00:43:52
142,INJ-001,2024-01-05 09:45:29,2024-01-05 11:19:58,RUNNING,,,OP002,,2026-01-30 00:43:52
143,INJ-001,2024-01-05 11:27:58,2024-01-05 15:24:27,RUNNING,,,OP003,,2026-01-30 00:43:52
144,INJ-001,2024-01-05 15:28:27,2024-01-05 17:00:45,RUNNING,,,OP003,,2026-01-30 00:43:52
145,INJ-001,2024-01-05 17:01:45,2024-01-05 18:54:46,BREAKDOWN,모터 고장,고장정지,OP009,,2026-01-30 00:43:52
146,INJ-001,2024-01-05 18:57:46,2024-01-05 20:16:14,RUNNING,,,OP010,,2026-01-30 00:43:52
147,INJ-001,2024-01-05 20:17:14,2024-01-05 22:43:24,RUNNING,,,OP005,,2026-01-30 00:43:52
148,INJ-001,2024-01-05 22:49:24,2024-01-05 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
149,INJ-002,2024-01-05 08:00:00,2024-01-05 08:19:16,IDLE,자재 대기,자재대기,OP001,,2026-01-30 00:43:52
150,INJ-002,2024-01-05 08:29:16,2024-01-05 09:27:27,SETUP,제품 변경,계획정지,OP001,,2026-01-30 00:43:52
151,INJ-002,2024-01-05 09:34:27,2024-01-05 12:54:05,RUNNING,,,OP002,,2026-01-30 00:43:52
152,INJ-002,2024-01-05 13:01:05,2024-01-05 14:54:36,RUNNING,,,OP010,,2026-01-30 00:43:52
153,INJ-002,2024-01-05 15:04:36,2024-01-05 15:45:52,IDLE,휴식,계획정지,OP001,,2026-01-30 00:43:52
154,INJ-002,2024-01-05 15:47:52,2024-01-05 17:47:18,MAINTENANCE,예방 정비,계획정지,OP009,,2026-01-30 00:43:52
155,PRESS-001,2024-01-05 08:00:00,2024-01-05 09:28:10,RUNNING,,,OP001,,2026-01-30 00:43:52
156,PRESS-001,2024-01-05 09:35:10,2024-01-05 11:27:36,RUNNING,,,OP010,,2026-01-30 00:43:52
157,PRESS-001,2024-01-05 11:31:36,2024-01-05 14:38:08,RUNNING,,,OP003,,2026-01-30 00:43:52
158,PRESS-001,2024-01-05 14:46:08,2024-01-05 18:32:26,RUNNING,,,OP002,,2026-01-30 00:43:52
159,PRESS-001,2024-01-05 18:42:26,2024-01-05 20:58:58,RUNNING,,,OP002,,2026-01-30 00:43:52
160,PRESS-001,2024-01-05 21:07:58,2024-01-05 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
161,PRESS-002,2024-01-05 08:00:00,2024-01-05 10:47:06,RUNNING,,,OP003,,2026-01-30 00:43:52
162,PRESS-002,2024-01-05 10:57:06,2024-01-05 11:42:41,IDLE,점심시간,계획정지,OP003,,2026-01-30 00:43:52
163,PRESS-002,2024-01-05 11:47:41,2024-01-05 14:06:29,RUNNING,,,OP010,,2026-01-30 00:43:52
164,PRESS-002,2024-01-05 14:16:29,2024-01-05 17:28:42,RUNNING,,,OP010,,2026-01-30 00:43:52
165,PRESS-002,2024-01-05 17:38:42,2024-01-05 19:19:54,RUNNING,,,OP001,,2026-01-30 00:43:52
166,PRESS-002,2024-01-05 19:29:54,2024-01-05 23:29:50,RUNNING,,,OP001,,2026-01-30 00:43:52
167,ASM-001,2024-01-05 08:00:00,2024-01-05 10:24:41,RUNNING,,,OP002,,2026-01-30 00:43:52
168,ASM-001,2024-01-05 10:32:41,2024-01-05 11:36:23,SETUP,설정 변경,계획정지,OP010,,2026-01-30 00:43:52
169,ASM-001,2024-01-05 11:44:23,2024-01-05 12:28:33,IDLE,자재 대기,자재대기,OP003,,2026-01-30 00:43:52
170,ASM-001,2024-01-05 12:31:33,2024-01-05 14:23:26,RUNNING,,,OP010,,2026-01-30 00:43:52
171,ASM-001,2024-01-05 14:30:26,2024-01-05 14:54:33,IDLE,자재 대기,자재대기,OP003,,2026-01-30 00:43:52
172,ASM-001,2024-01-05 14:56:33,2024-01-05 15:40:07,IDLE,자재 대기,자재대기,OP001,,2026-01-30 00:43:52
173,ASM-001,2024-01-05 15:49:07,2024-01-05 17:22:53,RUNNING,,,OP001,,2026-01-30 00:43:52
174,ASM-001,2024-01-05 17:28:53,2024-01-05 20:21:27,RUNNING,,,OP010,,2026-01-30 00:43:52
175,ASM-001,2024-01-05 20:22:27,2024-01-05 21:46:02,RUNNING,,,OP006,,2026-01-30 00:43:52
176,ASM-001,2024-01-05 21:51:02,2024-01-05 23:59:59,RUNNING,,,OP006,,2026-01-30 00:43:52
177,INJ-001,2024-01-06 08:00:00,2024-01-06 08:38:30,IDLE,전공정 대기,기타,OP001,,2026-01-30 00:43:52
178,INJ-001,2024-01-06 08:40:30,2024-01-06 11:03:34,RUNNING,,,OP001,,2026-01-30 00:43:52
179,INJ-001,2024-01-06 11:05:34,2024-01-06 13:35:16,RUNNING,,,OP002,,2026-01-30 00:43:52
180,INJ-001,2024-01-06 13:40:16,2024-01-06 15:55:03,RUNNING,,,OP003,,2026-01-30 00:43:52
181,INJ-001,2024-01-06 16:03:03,2024-01-06 16:48:40,SETUP,설정 변경,계획정지,OP002,,2026-01-30 00:43:52
182,INJ-001,2024-01-06 16:58:40,2024-01-06 20:34:12,RUNNING,,,OP002,,2026-01-30 00:43:52
183,INJ-001,2024-01-06 20:39:12,2024-01-06 21:04:01,IDLE,전공정 대기,기타,OP006,,2026-01-30 00:43:52
184,INJ-001,2024-01-06 21:05:01,2024-01-06 23:59:59,RUNNING,,,OP005,,2026-01-30 00:43:52
185,INJ-002,2024-01-06 08:00:00,2024-01-06 08:27:57,IDLE,점심시간,계획정지,OP003,,2026-01-30 00:43:52
186,INJ-002,2024-01-06 08:36:57,2024-01-06 12:13:29,RUNNING,,,OP003,,2026-01-30 00:43:52
187,INJ-002,2024-01-06 12:17:29,2024-01-06 15:51:34,RUNNING,,,OP002,,2026-01-30 00:43:52
188,INJ-002,2024-01-06 15:58:34,2024-01-06 19:05:30,RUNNING,,,OP010,,2026-01-30 00:43:52
189,INJ-002,2024-01-06 19:12:30,2024-01-06 21:41:40,RUNNING,,,OP002,,2026-01-30 00:43:52
190,INJ-002,2024-01-06 21:42:40,2024-01-06 23:42:25,RUNNING,,,OP006,,2026-01-30 00:43:52
191,INJ-002,2024-01-06 23:44:25,2024-01-06 23:57:09,IDLE,휴식,계획정지,OP005,,2026-01-30 00:43:52
192,PRESS-001,2024-01-06 08:00:00,2024-01-06 08:49:30,IDLE,자재 대기,자재대기,OP010,,2026-01-30 00:43:52
193,PRESS-001,2024-01-06 08:54:30,2024-01-06 11:51:29,RUNNING,,,OP010,,2026-01-30 00:43:52
194,PRESS-001,2024-01-06 11:57:29,2024-01-06 12:39:34,IDLE,점심시간,계획정지,OP003,,2026-01-30 00:43:52
195,PRESS-001,2024-01-06 12:47:34,2024-01-06 14:52:14,BREAKDOWN,모터 고장,고장정지,OP009,,2026-01-30 00:43:52
196,PRESS-001,2024-01-06 14:57:14,2024-01-06 15:45:44,IDLE,점심시간,계획정지,OP001,,2026-01-30 00:43:52
197,PRESS-001,2024-01-06 15:47:44,2024-01-06 19:30:21,RUNNING,,,OP003,,2026-01-30 00:43:52
198,PRESS-001,2024-01-06 19:31:21,2024-01-06 21:24:09,RUNNING,,,OP001,,2026-01-30 00:43:52
199,PRESS-001,2024-01-06 21:30:09,2024-01-06 23:59:59,RUNNING,,,OP004,,2026-01-30 00:43:52
200,PRESS-002,2024-01-06 08:00:00,2024-01-06 10:49:42,RUNNING,,,OP001,,2026-01-30 00:43:52
201,PRESS-002,2024-01-06 10:56:42,2024-01-06 13:26:17,RUNNING,,,OP002,,2026-01-30 00:43:52
202,PRESS-002,2024-01-06 13:36:17,2024-01-06 16:31:06,RUNNING,,,OP010,,2026-01-30 00:43:52
203,PRESS-002,2024-01-06 16:39:06,2024-01-06 20:20:54,RUNNING,,,OP001,,2026-01-30 00:43:52
204,PRESS-002,2024-01-06 20:28:54,2024-01-06 21:02:07,IDLE,작업 지시 대기,기타,OP004,,2026-01-30 00:43:52
205,PRESS-002,2024-01-06 21:08:07,2024-01-06 22:49:13,MAINTENANCE,부품 교체,계획정지,OP009,,2026-01-30 00:43:52
206,PRESS-002,2024-01-06 22:54:13,2024-01-06 23:59:59,RUNNING,,,OP005,,2026-01-30 00:43:52
207,ASM-001,2024-01-06 08:00:00,2024-01-06 10:43:27,RUNNING,,,OP003,,2026-01-30 00:43:52
208,ASM-001,2024-01-06 10:48:27,2024-01-06 12:37:52,RUNNING,,,OP010,,2026-01-30 00:43:52
209,ASM-001,2024-01-06 12:47:52,2024-01-06 13:39:50,IDLE,휴식,계획정지,OP010,,2026-01-30 00:43:52
210,ASM-001,2024-01-06 13:44:50,2024-01-06 14:48:41,SETUP,조정 작업,계획정지,OP002,,2026-01-30 00:43:52
211,ASM-001,2024-01-06 14:58:41,2024-01-06 17:51:46,RUNNING,,,OP002,,2026-01-30 00:43:52
212,ASM-001,2024-01-06 17:52:46,2024-01-06 18:58:46,RUNNING,,,OP010,,2026-01-30 00:43:52
213,ASM-001,2024-01-06 19:04:46,2024-01-06 21:26:53,BREAKDOWN,센서 오류,고장정지,OP009,,2026-01-30 00:43:52
214,INJ-001,2024-01-07 08:00:00,2024-01-07 10:35:33,RUNNING,,,OP003,,2026-01-30 00:43:52
215,INJ-001,2024-01-07 10:40:33,2024-01-07 11:52:18,SETUP,시운전,계획정지,OP003,,2026-01-30 00:43:52
216,INJ-001,2024-01-07 11:58:18,2024-01-07 12:46:30,IDLE,자재 대기,자재대기,OP002,,2026-01-30 00:43:52
217,INJ-001,2024-01-07 12:50:30,2024-01-07 13:06:50,IDLE,점심시간,계획정지,OP003,,2026-01-30 00:43:52
218,INJ-001,2024-01-07 13:13:50,2024-01-07 15:35:42,RUNNING,,,OP001,,2026-01-30 00:43:52
219,INJ-001,2024-01-07 15:40:42,2024-01-07 17:00:12,RUNNING,,,OP003,,2026-01-30 00:43:52
220,INJ-001,2024-01-07 17:04:12,2024-01-07 20:48:56,RUNNING,,,OP003,,2026-01-30 00:43:52
