alarm_id,timestamp,equipment_id,alarm_type,alarm_value,threshold,severity,acknowledged,resolved
ALM-00029,2024-02-03 20:00,EQ-C02,HIGH_VIBRATION,6.93,5.0,경고,True,True
ALM-00030,2024-02-06 20:00,EQ-B03,HIGH_VIBRATION,5.28,5.0,경고,True,True
ALM-00031,2024-02-10 08:00,EQ-B02,HIGH_TEMP,55.8,55.0,경고,False,True
ALM-00032,2024-02-10 12:00,EQ-B04,HIGH_VIBRATION,5.92,5.0,경고,True,False
ALM-00033,2024-02-10 20:00,EQ-A03,HIGH_TEMP,55.2,55.0,경고,,True
ALM-00034,2024-02-12 10:00,EQ-A02,HIGH_TEMP,61.7,55.0,경고,True,True
ALM-00035,2024-02-14 06:00,EQ-B02,HIGH_TEMP,57.3,55.0,경고,False,False
ALM-00036,2024-02-15 14:00,EQ-C03,HIGH_TEMP,56.1,55.0,경고,True,True
ALM-00037,2024-02-26 12:00,EQ-A02,HIGH_VIBRATION,7.71,5.0,경고,True,True
ALM-00038,2024-02-26 14:00,EQ-C03,HIGH_VIBRATION,5.04,5.0,경고,True,False
ALM-00039,2024-02-27 00:00,EQ-C02,CRITICAL_VIBRATION,8.77,8.0,위험,False,True
ALM-00040,2024-02-27 00:00,EQ-C03,CRITICAL_VIBRATION,9.54,8.0,위험,True,False
ALM-00041,2024-02-28 14:00,EQ-B04,HIGH_VIBRATION,6.37,5.0,경고,False,True
ALM-00042,2024-03-01 06:00,EQ-C02,HIGH_VIBRATION,6.74,5.0,경고,True,True
ALM-00043,2024-03-02 12:00,EQ-C02,HIGH_TEMP,59.2,55.0,경고,False,True
ALM-00044,2024-03-04 06:00,EQ-A01,HIGH_TEMP,55.4,55.0,경고,True,True
ALM-00045,2024-03-04 18:00,EQ-A04,CRITICAL_VIBRATION,8.05,8.0,위험,True,False
ALM-00046,2024-03-06 04:00,EQ-C01,HIGH_VIBRATION,5.15,5.0,경고,False,True
ALM-00047,2024-03-07 00:00,EQ-C02,HIGH_VIBRATION,7.42,5.0,경고,True,False
ALM-00048,2024-03-07 22:00,EQ-C04,HIGH_TEMP,56.9,55.0,경고,True,True
ALM-00049,2024-03-09 00:00,EQ-A01,HIGH_CURRENT,23.1,22.0,경고,True,True
ALM-00050,2024-03-09 00:00,EQ-A03,HIGH_VIBRATION,6.31,5.0,경고,True,True
ALM-00051,2024-03-09 16:00,EQ-A01,HIGH_CURRENT,22.2,22.0,경고,True,True
ALM-00052,2024-03-09 18:00,EQ-A01,HIGH_CURRENT,24.0,22.0,경고,True,False
ALM-00053,2024-03-12 08:00,EQ-B02,HIGH_VIBRATION,6.88,5.0,경고,True,True
ALM-00054,2024-03-15 10:00,EQ-A02,HIGH_TEMP,58.2,55.0,경고,True,True
ALM-00055,2024-03-16 22:00,EQ-B04,CRITICAL_VIBRATION,8.88,8.0,위험,True,False
ALM-00056,2024-03-19 06:00,EQ-A01,HIGH_VIBRATION,5.89,5.0,경고,True,True
ALM-00057,2024-03-19 10:00,EQ-A03,HIGH_TEMP,59.8,55.0,경고,True,True
ALM-00058,2024-03-22 20:00,EQ-A01,HIGH_VIBRATION,7.27,5.0,경고,False,False
ALM-00059,2024-03-25 04:00,EQ-A02,HIGH_VIBRATION,5.53,5.0,경고,False,False
ALM-00060,2024-03-28 02:00,EQ-A02,HIGH_TEMP,57.1,55.0,경고,True,True
ALM-00061,2024-03-28 22:00,EQ-B02,HIGH_TEMP,55.5,55.0,경고,True,True
ALM-00062,2024-03-29 08:00,EQ-A04,HIGH_VIBRATION,6.89,5.0,경고,True,True
ALM-00063,2024-03-29 22:00,EQ-C01,HIGH_TEMP,61.4,55.0,경고,True,True
ALM-00064,2024-03-30 06:00,EQ-A01,HIGH_TEMP,59.2,55.0,경고,True,False
ALM-00065,2024-04-01 04:00,EQ-A04,HIGH_VIBRATION,7.24,5.0,경고,True,True
ALM-00066,2024-04-01 10:00,EQ-B02,HIGH_TEMP,55.3,55.0,경고,False,False
ALM-00067,2024-04-01 20:00,EQ-C02,HIGH_TEMP,55.9,55.0,경고,True,True
ALM-00068,2024-04-02 12:00,EQ-B03,CRITICAL_VIBRATION,8.42,8.0,위험,False,False
ALM-00069,2024-04-03 16:00,EQ-A01,CRITICAL_VIBRATION,9.33,8.0,위험,True,True
ALM-00070,2024-04-08 10:00,EQ-C04,HIGH_VIBRATION,7.94,5.0,경고,True,True
ALM-00071,2024-04-09 14:00,EQ-C02,HIGH_VIBRATION,5.66,5.0,경고,True,True
ALM-00072,2024-04-09 22:00,EQ-C04,CRITICAL_VIBRATION,8.88,8.0,위험,False,False
ALM-00073,2024-04-11 12:00,EQ-A02,CRITICAL_VIBRATION,8.1,8.0,위험,False,False
ALM-00074,2024-04-11 16:00,EQ-A03,HIGH_VIBRATION,5.11,5.0,경고,True,True
ALM-00075,2024-04-11 20:00,EQ-A03,HIGH_VIBRATION,5.48,5.0,경고,True,False
ALM-00076,2024-04-11 22:00,EQ-B04,CRITICAL_VIBRATION,8.77,8.0,위험,False,False
ALM-00077,2024-04-12 00:00,EQ-A03,HIGH_VIBRATION,5.37,5.0,경고,True,True
ALM-00078,2024-04-12 04:00,EQ-A03,HIGH_VIBRATION,5.29,5.0,경고,True,True
ALM-00079,2024-04-12 08:00,EQ-C02,HIGH_VIBRATION,7.1,5.0,경고,True,True
ALM-00080,2024-04-12 12:00,EQ-A03,HIGH_VIBRATION,5.71,5.0,경고,True,False
ALM-00081,2024-04-12 14:00,EQ-C02,HIGH_TEMP,58.9,55.0,경고,True,True
ALM-00082,2024-04-12 16:00,EQ-A03,HIGH_VIBRATION,5.5,5.0,경고,True,False
ALM-00083,2024-04-12 20:00,EQ-A03,HIGH_VIBRATION,5.13,5.0,경고,False,True
ALM-00084,2024-04-13 00:00,EQ-A03,HIGH_VIBRATION,5.44,5.0,경고,True,False
ALM-00085,2024-04-13 06:00,EQ-A03,HIGH_VIBRATION,5.64,5.0,경고,True,False
ALM-00086,2024-04-13 08:00,EQ-A03,HIGH_VIBRATION,6.33,5.0,경고,False,False
ALM-00087,2024-04-13 16:00,EQ-A03,HIGH_VIBRATION,6.25,5.0,경고,True,True
ALM-00088,2024-04-13 20:00,EQ-A03,HIGH_VIBRATION,6.65,5.0,경고,True,True
ALM-00089,2024-04-13 22:00,EQ-A03,HIGH_VIBRATION,6.11,5.0,경고,True,True
ALM-00090,2024-04-15 18:00,EQ-A01,CRITICAL_VIBRATION,10.49,8.0,위험,True,False
ALM-00091,2024-04-16 18:00,EQ-C02,HIGH_TEMP,56.0,55.0,경고,True,True
ALM-00092,2024-04-17 04:00,EQ-C04,HIGH_VIBRATION,5.44,5.0,경고,True,True
ALM-00093,2024-04-18 02:00,EQ-B04,HIGH_VIBRATION,7.54,5.0,경고,,True
ALM-00094,2024-04-18 14:00,EQ-A04,CRITICAL_VIBRATION,9.45,8.0,위험,True,False
ALM-00095,2024-04-23 02:00,EQ-C01,HIGH_TEMP,57.3,55.0,경고,True,True
ALM-00096,2024-04-24 10:00,EQ-A04,HIGH_TEMP,58.8,55.0,경고,True,True
ALM-00097,2024-04-25 00:00,EQ-B03,HIGH_VIBRATION,5.14,5.0,경고,True,False
ALM-00098,2024-04-25 16:00,EQ-A01,CRITICAL_VIBRATION,8.24,8.0,위험,True,False
ALM-00099,2024-04-26 22:00,EQ-C01,HIGH_TEMP,59.3,55.0,경고,True,True
ALM-00100,2024-04-29 02:00,EQ-C01,HIGH_TEMP,62.0,55.0,경고,True,False
ALM-00101,2024-05-04 20:00,EQ-C01,HIGH_VIBRATION,6.77,5.0,경고,True,True
ALM-00102,2024-05-07 04:00,EQ-C03,HIGH_TEMP,55.8,55.0,경고,True,False
ALM-00103,2024-05-11 18:00,EQ-B03,HIGH_TEMP,61.0,55.0,경고,True,True
ALM-00104,2024-05-14 22:00,EQ-C01,HIGH_VIBRATION,5.03,5.0,경고,,True
ALM-00105,2024-05-16 12:00,EQ-C01,CRITICAL_VIBRATION,9.39,8.0,위험,True,True
ALM-00106,2024-05-23 08:00,EQ-C02,HIGH_VIBRATION,7.44,5.0,경고,False,True
ALM-00107,2024-05-23 18:00,EQ-A03,CRITICAL_TEMP,66.0,65.0,위험,True,True
ALM-00108,2024-05-23 20:00,EQ-A02,CRITICAL_VIBRATION,8.18,8.0,위험,True,False
ALM-00109,2024-05-25 00:00,EQ-A04,HIGH_TEMP,64.2,55.0,경고,True,True
ALM-00110,2024-05-25 06:00,EQ-C03,HIGH_TEMP,55.6,55.0,경고,True,True
ALM-00111,2024-05-25 12:00,EQ-A03,CRITICAL_VIBRATION,10.47,8.0,위험,False,False
ALM-00112,2024-05-25 14:00,EQ-C02,HIGH_TEMP,61.1,55.0,경고,True,False
ALM-00113,2024-05-25 22:00,EQ-A02,HIGH_TEMP,57.0,55.0,경고,True,True
ALM-00114,2024-05-27 04:00,EQ-A04,HIGH_VIBRATION,6.74,5.0,경고,True,True
ALM-00115,2024-05-29 08:00,EQ-A04,CRITICAL_VIBRATION,8.66,8.0,위험,False,False
ALM-00116,2024-06-01 18:00,EQ-A04,HIGH_TEMP,63.7,55.0,경고,True,True
ALM-00117,2024-06-03 00:00,EQ-A02,HIGH_TEMP,58.7,55.0,경고,True,True
ALM-00118,2024-06-04 14:00,EQ-B04,CRITICAL_VIBRATION,8.36,8.0,위험,True,False
ALM-00119,2024-06-04 18:00,EQ-C02,HIGH_VIBRATION,7.11,5.0,경고,False,False
ALM-00120,2024-06-04 20:00,EQ-C03,HIGH_VIBRATION,7.56,5.0,경고,True,True
ALM-00121,2024-06-08 08:00,EQ-A03,HIGH_TEMP,64.9,55.0,경고,True,True
ALM-00122,2024-06-11 04:00,EQ-C01,CRITICAL_VIBRATION,8.66,8.0,위험,True,False
ALM-00123,2024-06-12 08:00,EQ-C01,CRITICAL_VIBRATION,9.21,8.0,위험,True,False
ALM-00124,2024-06-14 06:00,EQ-C02,HIGH_TEMP,63.0,55.0,경고,True,True
ALM-00125,2024-06-17 18:00,EQ-C01,CRITICAL_VIBRATION,8.65,8.0,위험,False,False
ALM-00126,2024-06-19 14:00,EQ-A03,HIGH_TEMP,64.2,55.0,경고,True,True
ALM-00127,2024-06-19 22:00,EQ-B03,HIGH_TEMP,57.9,55.0,경고,True,True
ALM-00128,2024-06-20 08:00,EQ-C04,CRITICAL_VIBRATION,9.29,8.0,위험,True,True
ALM-00129,2024-06-26 10:00,EQ-C04,CRITICAL_VIBRATION,9.08,8.0,위험,True,False
ALM-00130,2024-06-26 16:00,EQ-A03,HIGH_TEMP,63.0,55.0,경고,True,True
ALM-00131,2024-06-28 12:00,EQ-A01,CRITICAL_VIBRATION,9.25,8.0,위험,False,True
ALM-00132,2024-06-28 14:00,EQ-A04,HIGH_TEMP,57.3,55.0,경고,False,True
