sensor_id,timestamp,equipment_id,temperature_c,vibration_mms,current_a,pressure_bar
S-000088,2024-01-01 14:00,EQ-B04,36.5,1.05,9.6,5.56
S-000089,2024-01-01 14:00,EQ-C01,41.0,1.45,13.5,5.42
S-000090,2024-01-01 14:00,EQ-C02,40.4,1.34,12.9,4.95
S-000091,2024-01-01 14:00,EQ-C03,38.8,,14.0,5.4
S-000092,2024-01-01 14:00,EQ-C04,37.2,1.14,10.6,5.17
S-000093,2024-01-01 16:00,EQ-A01,42.2,2.94,14.9,5.44
S-000094,2024-01-01 16:00,EQ-A02,40.6,2.53,13.8,5.07
S-000095,2024-01-01 16:00,EQ-A03,42.7,3.01,15.3,4.74
S-000096,2024-01-01 16:00,EQ-A04,40.6,1.85,11.7,5.12
S-000097,2024-01-01 16:00,EQ-B01,36.3,1.57,13.7,5.77
S-000098,2024-01-01 16:00,EQ-B02,38.3,1.34,15.0,5.09
S-000099,2024-01-01 16:00,EQ-B03,37.9,1.18,12.0,4.94
S-000100,2024-01-01 16:00,EQ-B04,36.6,1.28,12.4,5.52
S-000101,2024-01-01 16:00,EQ-C01,39.2,2.37,14.7,5.1
S-000102,2024-01-01 16:00,EQ-C02,40.6,1.98,13.4,5.23
S-000103,2024-01-01 16:00,EQ-C03,36.8,1.4,14.5,5.59
S-000104,2024-01-01 16:00,EQ-C04,37.6,1.45,11.7,5.27
S-000105,2024-01-01 18:00,EQ-A01,39.6,2.69,15.8,5.18
S-000106,2024-01-01 18:00,EQ-A02,42.3,2.2,17.7,4.88
S-000107,2024-01-01 18:00,EQ-A03,45.1,2.59,15.5,4.94
S-000108,2024-01-01 18:00,EQ-A04,40.8,1.77,12.3,5.13
S-000109,2024-01-01 18:00,EQ-B01,34.5,0.99,13.8,5.49
S-000110,2024-01-01 18:00,EQ-B02,37.5,1.6,12.3,5.24
S-000111,2024-01-01 18:00,EQ-B03,37.8,1.59,14.7,5.11
S-000112,2024-01-01 18:00,EQ-B04,38.4,0.86,11.4,5.26
S-000113,2024-01-01 18:00,EQ-C01,41.9,1.91,13.4,5.04
S-000114,2024-01-01 18:00,EQ-C02,40.5,2.52,14.1,5.14
S-000115,2024-01-01 18:00,EQ-C03,39.9,1.76,14.8,5.24
S-000116,2024-01-01 18:00,EQ-C04,36.8,1.8,11.1,5.4
S-000117,2024-01-01 20:00,EQ-A01,41.5,2.43,15.6,4.97
S-000118,2024-01-01 20:00,EQ-A02,41.1,2.16,14.5,
S-000119,2024-01-01 20:00,EQ-A03,43.6,2.92,16.4,4.83
S-000120,2024-01-01 20:00,EQ-A04,40.0,,10.4,5.44
S-000121,2024-01-01 20:00,EQ-B01,36.1,1.13,12.9,5.7
S-000122,2024-01-01 20:00,EQ-B02,38.5,,11.1,5.07
S-000123,2024-01-01 20:00,EQ-B03,38.0,1.34,15.2,5.49
S-000124,2024-01-01 20:00,EQ-B04,36.2,1.02,11.1,5.37
S-000125,2024-01-01 20:00,EQ-C01,41.3,2.03,15.5,5.15
S-000126,2024-01-01 20:00,EQ-C02,38.0,1.69,15.3,5.3
S-000127,2024-01-01 20:00,EQ-C03,39.2,2.44,12.0,4.94
S-000128,2024-01-01 20:00,EQ-C04,38.0,1.68,12.8,5.39
S-000129,2024-01-01 22:00,EQ-A01,42.8,2.79,15.2,5.2
S-000130,2024-01-01 22:00,EQ-A02,41.2,2.46,14.7,5.13
S-000131,2024-01-01 22:00,EQ-A03,45.2,2.68,17.2,5.14
S-000132,2024-01-01 22:00,EQ-A04,42.9,1.45,12.1,5.03
S-000133,2024-01-01 22:00,EQ-B01,37.1,0.86,13.2,5.59
S-000134,2024-01-01 22:00,EQ-B02,37.7,1.96,13.8,5.48
S-000135,2024-01-01 22:00,EQ-B03,39.2,1.25,13.5,5.56
S-000136,2024-01-01 22:00,EQ-B04,37.7,1.0,11.5,5.43
S-000137,2024-01-01 22:00,EQ-C01,38.1,1.99,12.7,4.96
S-000138,2024-01-01 22:00,EQ-C02,43.7,1.97,14.8,5.18
S-000139,2024-01-01 22:00,EQ-C03,40.7,,14.0,5.38
S-000140,2024-01-01 22:00,EQ-C04,38.8,1.29,13.3,5.4
S-000141,2024-01-02 00:00,EQ-A02,42.9,2.37,12.1,4.95
S-000142,2024-01-02 00:00,EQ-A03,46.1,,15.7,4.99
S-000143,2024-01-02 00:00,EQ-A04,40.9,,11.2,4.88
S-000144,2024-01-02 00:00,EQ-B01,36.6,0.77,15.1,5.83
S-000145,2024-01-02 00:00,EQ-B02,39.4,1.32,13.5,5.01
S-000146,2024-01-02 00:00,EQ-B03,41.9,0.83,12.8,5.24
S-000147,2024-01-02 00:00,EQ-B04,35.5,1.47,10.9,5.59
S-000148,2024-01-02 00:00,EQ-C01,38.1,1.77,13.1,5.02
S-000149,2024-01-02 00:00,EQ-C02,40.4,,13.9,4.81
S-000150,2024-01-02 00:00,EQ-C03,38.9,1.81,14.0,5.13
S-000151,2024-01-02 00:00,EQ-C04,41.8,1.79,13.0,5.16
S-000152,2024-01-02 02:00,EQ-A01,44.7,2.33,13.3,5.16
S-000153,2024-01-02 02:00,EQ-A02,43.5,,16.5,5.0
S-000154,2024-01-02 02:00,EQ-A03,45.2,2.26,16.1,4.79
S-000155,2024-01-02 02:00,EQ-A04,40.2,1.54,11.4,4.94
S-000156,2024-01-02 02:00,EQ-B01,37.6,1.66,13.8,5.49
S-000157,2024-01-02 02:00,EQ-B02,36.6,1.54,12.6,5.54
S-000158,2024-01-02 02:00,EQ-B03,38.4,,14.1,5.07
S-000159,2024-01-02 02:00,EQ-B04,38.8,1.65,10.4,5.57
S-000160,2024-01-02 02:00,EQ-C01,39.9,1.52,14.6,5.01
S-000161,2024-01-02 02:00,EQ-C04,38.3,1.58,12.5,5.03
S-000162,2024-01-02 04:00,EQ-A01,43.5,2.71,15.7,4.77
S-000163,2024-01-02 04:00,EQ-A02,41.1,2.3,14.2,5.0
S-000164,2024-01-02 04:00,EQ-A03,44.6,3.27,15.7,4.84
S-000165,2024-01-02 04:00,EQ-A04,42.3,1.83,,4.92
S-000166,2024-01-02 04:00,EQ-B01,35.4,1.71,11.3,5.51
S-000167,2024-01-02 04:00,EQ-B02,39.5,1.11,15.1,5.29
S-000168,2024-01-02 04:00,EQ-B03,,2.23,13.3,5.3
S-000169,2024-01-02 04:00,EQ-B04,,1.05,11.5,5.66
S-000170,2024-01-02 04:00,EQ-C01,40.1,1.94,14.1,4.95
S-000171,2024-01-02 04:00,EQ-C02,41.2,1.76,14.8,4.8
S-000172,2024-01-02 04:00,EQ-C03,42.4,1.76,13.5,5.1
S-000173,2024-01-02 04:00,EQ-C04,38.7,1.41,10.6,5.31
S-000174,2024-01-02 06:00,EQ-A01,42.3,2.9,17.9,5.6
S-000175,2024-01-02 06:00,EQ-A02,40.3,2.42,14.9,4.61
S-000176,2024-01-02 06:00,EQ-A03,47.5,9.1,16.2,4.88
S-000177,2024-01-02 06:00,EQ-A04,38.9,1.68,11.2,4.79
S-000178,2024-01-02 06:00,EQ-B01,37.0,1.19,13.3,5.43
S-000179,2024-01-02 06:00,EQ-B02,39.1,1.13,13.0,5.73
S-000180,2024-01-02 06:00,EQ-B03,41.2,,14.5,5.52
S-000181,2024-01-02 06:00,EQ-B04,37.1,,11.4,5.51
S-000182,2024-01-02 06:00,EQ-C01,39.0,2.24,14.1,5.15
S-000183,2024-01-02 06:00,EQ-C02,38.8,2.21,13.6,5.17
S-000184,2024-01-02 06:00,EQ-C03,39.3,1.77,13.7,5.17
S-000185,2024-01-02 06:00,EQ-C04,39.4,1.43,13.0,5.62
S-000186,2024-01-02 08:00,EQ-A01,40.0,3.2,15.1,5.02
S-000187,2024-01-02 08:00,EQ-A02,38.7,9.38,15.7,5.09
S-000188,2024-01-02 08:00,EQ-A03,46.5,2.49,17.6,4.85
S-000189,2024-01-02 08:00,EQ-A04,39.4,1.85,11.4,5.32
S-000190,2024-01-02 08:00,EQ-B01,34.4,,14.0,5.7
S-000191,2024-01-02 08:00,EQ-B02,33.1,1.57,13.9,5.35
S-000192,2024-01-02 08:00,EQ-B03,35.2,1.38,14.5,5.06
S-000193,2024-01-02 08:00,EQ-B04,34.8,1.64,11.4,5.39
S-000194,2024-01-02 08:00,EQ-C01,39.4,1.61,13.8,5.04
S-000195,2024-01-02 08:00,EQ-C02,39.9,2.12,13.6,4.81
S-000196,2024-01-02 08:00,EQ-C03,39.3,1.49,13.7,5.31
S-000197,2024-01-02 08:00,EQ-C04,37.4,1.79,13.8,5.49
S-000198,2024-01-02 10:00,EQ-A01,42.6,2.29,15.4,5.13
S-000199,2024-01-02 10:00,EQ-A02,41.9,2.28,14.4,4.74
S-000200,2024-01-02 10:00,EQ-A03,43.3,2.71,17.2,5.06
S-000201,2024-01-02 10:00,EQ-A04,40.4,1.86,11.2,5.25
S-000202,2024-01-02 10:00,EQ-B01,35.8,1.15,14.8,5.13
S-000203,2024-01-02 10:00,EQ-B02,36.6,0.68,13.1,5.49
S-000204,2024-01-02 10:00,EQ-B03,41.7,1.23,12.7,5.25
S-000205,2024-01-02 10:00,EQ-B04,48.1,,8.7,5.53
S-000206,2024-01-02 10:00,EQ-C01,37.5,2.69,14.9,5.42
S-000207,2024-01-02 10:00,EQ-C02,40.9,2.77,15.3,4.86
S-000208,2024-01-02 10:00,EQ-C03,39.1,2.16,15.3,5.28
S-000209,2024-01-02 10:00,EQ-C04,37.0,1.06,13.0,5.35
S-000210,2024-01-02 12:00,EQ-A01,41.6,2.49,15.7,5.14
S-000211,2024-01-02 12:00,EQ-A02,43.8,2.84,13.5,4.73
S-000212,2024-01-02 12:00,EQ-A03,43.1,2.97,16.9,4.59
S-000213,2024-01-02 12:00,EQ-A04,42.6,1.73,13.4,4.83
S-000214,2024-01-02 12:00,EQ-B02,36.7,1.67,13.3,5.49
S-000215,2024-01-02 12:00,EQ-B03,39.5,1.59,14.7,5.46
S-000216,2024-01-02 12:00,EQ-B04,37.4,0.74,11.0,5.31
S-000217,2024-01-02 12:00,EQ-C01,,2.37,14.9,5.0
S-000218,2024-01-02 12:00,EQ-C03,39.0,2.12,14.8,5.37
S-000219,2024-01-02 12:00,EQ-C04,37.6,1.74,13.3,5.52
S-000220,2024-01-02 14:00,EQ-A01,41.5,3.21,14.6,5.14
S-000221,2024-01-02 14:00,EQ-A02,41.8,2.11,14.9,5.1
S-000222,2024-01-02 14:00,EQ-A03,44.9,2.79,15.8,4.55
S-000223,2024-01-02 14:00,EQ-B01,36.8,1.47,13.2,5.64
S-000224,2024-01-02 14:00,EQ-B02,35.6,1.48,12.2,5.65
S-000225,2024-01-02 14:00,EQ-B03,38.6,1.78,14.1,5.29
S-000226,2024-01-02 14:00,EQ-B04,34.6,1.28,10.5,5.58
S-000227,2024-01-02 14:00,EQ-C01,37.1,1.74,14.6,5.18
S-000228,2024-01-02 14:00,EQ-C02,40.9,2.37,14.1,5.02
S-000229,2024-01-02 14:00,EQ-C03,39.7,1.26,11.9,5.41
S-000230,2024-01-02 14:00,EQ-C04,34.4,1.62,13.2,5.42
S-000231,2024-01-02 16:00,EQ-A01,42.9,1.91,13.9,4.99
S-000232,2024-01-02 16:00,EQ-A02,42.1,2.42,14.9,4.64
S-000233,2024-01-02 16:00,EQ-A03,43.1,3.02,14.3,4.63
S-000234,2024-01-02 16:00,EQ-A04,39.3,1.73,12.2,5.02
S-000235,2024-01-02 16:00,EQ-B01,36.8,0.96,12.5,5.39
S-000236,2024-01-02 16:00,EQ-B02,38.4,1.54,13.3,5.49
S-000237,2024-01-02 16:00,EQ-B03,39.4,1.31,13.9,5.39
S-000238,2024-01-02 16:00,EQ-B04,35.2,1.08,10.7,5.59
S-000239,2024-01-02 16:00,EQ-C01,39.5,2.28,15.7,5.13
S-000240,2024-01-02 16:00,EQ-C02,41.0,1.95,13.4,4.96
S-000241,2024-01-02 16:00,EQ-C03,39.4,1.66,14.6,5.32
S-000242,2024-01-02 18:00,EQ-A01,43.9,2.45,15.7,5.05
S-000243,2024-01-02 18:00,EQ-A02,42.4,1.92,16.1,4.91
S-000244,2024-01-02 18:00,EQ-A03,42.5,2.17,17.6,5.01
S-000245,2024-01-02 18:00,EQ-A04,41.3,,12.0,5.38
S-000246,2024-01-02 18:00,EQ-B01,35.0,1.21,13.3,5.49
S-000247,2024-01-02 18:00,EQ-B02,37.3,1.41,15.0,5.76
S-000248,2024-01-02 18:00,EQ-B03,37.9,,14.4,4.93
S-000249,2024-01-02 18:00,EQ-B04,37.2,0.92,12.2,5.81
S-000250,2024-01-02 18:00,EQ-C01,39.6,1.45,13.6,4.92
S-000251,2024-01-02 18:00,EQ-C02,40.0,1.68,13.7,4.99
S-000252,2024-01-02 18:00,EQ-C03,37.5,1.93,13.3,5.21
S-000253,2024-01-02 18:00,EQ-C04,37.7,1.63,13.3,5.37
S-000254,2024-01-02 20:00,EQ-A01,40.5,2.7,15.4,4.89
S-000255,2024-01-02 20:00,EQ-A02,42.0,1.92,16.0,4.87
S-000256,2024-01-02 20:00,EQ-A03,43.8,2.99,17.4,5.02
S-000257,2024-01-02 20:00,EQ-A04,40.1,2.17,10.7,5.02
S-000258,2024-01-02 20:00,EQ-B01,36.3,1.19,12.7,5.23
S-000259,2024-01-02 20:00,EQ-B02,37.4,0.92,12.9,5.66
S-000260,2024-01-02 20:00,EQ-B03,38.6,1.85,14.6,5.1
S-000261,2024-01-02 20:00,EQ-B04,36.6,0.87,11.0,5.7
S-000262,2024-01-02 20:00,EQ-C01,35.6,1.66,13.5,4.74
S-000263,2024-01-02 20:00,EQ-C02,37.4,1.72,13.9,4.73
S-000264,2024-01-02 20:00,EQ-C03,39.6,2.05,14.3,5.32
S-000265,2024-01-02 20:00,EQ-C04,36.7,,12.7,5.64
S-000266,2024-01-02 22:00,EQ-A02,43.6,2.59,13.9,5.17
S-000267,2024-01-02 22:00,EQ-A03,45.5,3.07,14.3,4.77
S-000268,2024-01-02 22:00,EQ-A04,42.3,1.71,9.7,5.31
S-000269,2024-01-02 22:00,EQ-B01,37.4,1.51,13.7,5.35
S-000270,2024-01-02 22:00,EQ-B02,39.2,1.34,14.7,5.8
S-000271,2024-01-02 22:00,EQ-B03,38.1,0.87,13.2,4.94
S-000272,2024-01-02 22:00,EQ-B04,37.8,1.29,11.3,5.59
S-000273,2024-01-02 22:00,EQ-C01,37.5,1.8,14.6,5.06
S-000274,2024-01-02 22:00,EQ-C02,39.9,1.64,13.8,5.31
S-000275,2024-01-02 22:00,EQ-C03,40.4,1.7,13.9,
S-000276,2024-01-02 22:00,EQ-C04,40.9,1.78,13.5,5.32
S-000277,2024-01-03 00:00,EQ-A01,43.7,2.45,15.3,4.88
S-000278,2024-01-03 00:00,EQ-A02,42.5,2.69,14.1,5.06
S-000279,2024-01-03 00:00,EQ-A03,47.1,3.45,17.1,4.89
S-000280,2024-01-03 00:00,EQ-A04,39.2,1.65,11.6,5.12
S-000281,2024-01-03 00:00,EQ-B01,38.2,1.22,13.2,5.55
S-000282,2024-01-03 00:00,EQ-B02,38.3,1.49,12.2,5.27
S-000283,2024-01-03 00:00,EQ-B03,41.7,1.74,13.6,5.4
S-000284,2024-01-03 00:00,EQ-B04,40.1,1.77,10.4,5.2
S-000285,2024-01-03 00:00,EQ-C01,41.1,2.13,12.2,5.01
S-000286,2024-01-03 00:00,EQ-C02,38.7,1.55,14.9,4.91
S-000287,2024-01-03 00:00,EQ-C03,43.3,1.99,12.8,4.84
S-000288,2024-01-03 00:00,EQ-C04,39.1,1.28,13.8,5.02
S-000289,2024-01-03 02:00,EQ-A01,45.6,2.28,14.8,5.21
S-000290,2024-01-03 02:00,EQ-A02,39.1,2.35,14.2,4.98
S-000291,2024-01-03 02:00,EQ-A03,43.3,3.61,15.6,4.79
S-000292,2024-01-03 02:00,EQ-B01,38.8,1.35,12.6,5.64
S-000293,2024-01-03 02:00,EQ-B02,39.4,1.97,13.8,5.07
S-000294,2024-01-03 02:00,EQ-B03,38.9,1.2,14.1,5.38
S-000295,2024-01-03 02:00,EQ-B04,37.2,0.87,9.7,5.45
S-000296,2024-01-03 02:00,EQ-C01,40.2,1.88,15.2,5.21
S-000297,2024-01-03 02:00,EQ-C02,40.4,1.91,15.5,4.92
S-000298,2024-01-03 02:00,EQ-C03,42.5,,13.5,5.04
S-000299,2024-01-03 02:00,EQ-C04,42.6,1.68,11.8,5.11
S-000300,2024-01-03 04:00,EQ-A01,43.4,3.01,15.2,5.1
S-000301,2024-01-03 04:00,EQ-A02,45.2,2.22,15.1,4.92
S-000302,2024-01-03 04:00,EQ-A03,46.1,3.42,16.6,4.7
S-000303,2024-01-03 04:00,EQ-A04,41.3,1.01,,5.24
S-000304,2024-01-03 04:00,EQ-B01,36.3,1.08,14.2,5.79
S-000305,2024-01-03 04:00,EQ-B02,35.2,0.99,10.7,5.36
S-000306,2024-01-03 04:00,EQ-B03,39.8,1.8,14.4,5.32
S-000307,2024-01-03 04:00,EQ-B04,37.4,0.94,11.1,5.4
S-000308,2024-01-03 04:00,EQ-C01,39.4,1.82,13.5,5.18
S-000309,2024-01-03 04:00,EQ-C02,42.7,1.43,15.5,5.16
S-000310,2024-01-03 04:00,EQ-C03,42.2,1.61,14.0,4.91
S-000311,2024-01-03 04:00,EQ-C04,39.0,1.16,13.2,5.3
S-000312,2024-01-03 06:00,EQ-A01,,,15.1,4.85
S-000313,2024-01-03 06:00,EQ-A02,42.2,1.98,,5.02
S-000314,2024-01-03 06:00,EQ-A03,44.9,3.05,15.2,4.53
S-000315,2024-01-03 06:00,EQ-A04,40.2,2.25,11.3,5.66
S-000316,2024-01-03 06:00,EQ-B01,36.0,1.01,13.8,5.51
S-000317,2024-01-03 06:00,EQ-B02,38.7,1.56,13.1,5.01
S-000318,2024-01-03 06:00,EQ-B03,38.8,1.89,14.8,5.44
S-000319,2024-01-03 06:00,EQ-B04,38.9,1.14,10.8,5.85
S-000320,2024-01-03 06:00,EQ-C01,39.3,2.19,12.3,5.34
S-000321,2024-01-03 06:00,EQ-C02,42.5,1.95,13.2,5.07
S-000322,2024-01-03 06:00,EQ-C03,39.9,2.0,13.7,5.15
S-000323,2024-01-03 06:00,EQ-C04,39.0,2.06,12.7,5.18
S-000324,2024-01-03 08:00,EQ-A02,42.0,1.98,15.0,5.0
S-000325,2024-01-03 08:00,EQ-A03,44.7,2.63,16.5,4.84
S-000326,2024-01-03 08:00,EQ-A04,38.1,1.72,12.2,4.9
S-000327,2024-01-03 08:00,EQ-B01,35.9,1.29,,5.68
S-000328,2024-01-03 08:00,EQ-B03,39.3,1.53,13.5,5.34
S-000329,2024-01-03 08:00,EQ-B04,37.1,0.9,10.0,5.73
S-000330,2024-01-03 08:00,EQ-C01,39.7,1.62,13.3,5.33
S-000331,2024-01-03 08:00,EQ-C02,38.1,,13.2,4.93
S-000332,2024-01-03 08:00,EQ-C03,41.2,1.91,13.7,5.53
S-000333,2024-01-03 08:00,EQ-C04,39.0,1.8,11.5,5.27
S-000334,2024-01-03 10:00,EQ-A01,41.9,2.42,14.4,5.24
S-000335,2024-01-03 10:00,EQ-A02,41.0,2.62,14.3,4.81
S-000336,2024-01-03 10:00,EQ-A03,43.6,2.73,14.7,5.04
S-000337,2024-01-03 10:00,EQ-A04,37.4,1.19,13.4,4.88
S-000338,2024-01-03 10:00,EQ-B01,34.5,1.25,13.5,5.53
S-000339,2024-01-03 10:00,EQ-B02,39.6,1.04,14.4,5.48
S-000340,2024-01-03 10:00,EQ-B03,39.2,1.26,13.7,5.03
S-000341,2024-01-03 10:00,EQ-B04,35.2,0.94,11.4,5.58
S-000342,2024-01-03 10:00,EQ-C01,38.6,1.66,13.9,5.16
S-000343,2024-01-03 10:00,EQ-C02,38.7,1.71,13.5,4.89
S-000344,2024-01-03 10:00,EQ-C04,38.4,1.16,10.3,5.23
S-000345,2024-01-03 12:00,EQ-A01,40.6,2.61,15.4,5.17
S-000346,2024-01-03 12:00,EQ-A02,39.5,2.74,14.0,5.07
S-000347,2024-01-03 12:00,EQ-A03,42.6,3.24,16.6,4.9
S-000348,2024-01-03 12:00,EQ-A04,38.0,1.85,11.7,5.4
S-000349,2024-01-03 12:00,EQ-B01,35.7,1.83,11.5,5.35
S-000350,2024-01-03 12:00,EQ-B02,36.3,0.91,11.5,5.69
S-000351,2024-01-03 12:00,EQ-B03,40.1,1.81,14.3,5.06
S-000352,2024-01-03 12:00,EQ-B04,36.7,0.99,10.1,5.55
S-000353,2024-01-03 12:00,EQ-C01,38.6,1.93,12.4,4.69
S-000354,2024-01-03 12:00,EQ-C02,41.7,2.39,11.6,
S-000355,2024-01-03 12:00,EQ-C03,41.2,1.73,14.6,5.6
S-000356,2024-01-03 12:00,EQ-C04,42.1,1.52,11.5,5.22
S-000357,2024-01-03 14:00,EQ-A01,43.7,2.39,15.7,5.28
S-000358,2024-01-03 14:00,EQ-A02,35.7,1.63,15.1,5.31
S-000359,2024-01-03 14:00,EQ-A03,44.4,2.58,15.5,4.92
