param_id,record_date,shift,line,product_code,temperature_c,pressure_bar,spindle_speed_rpm,feed_rate_mmmin,coolant_flow_lmin,vibration_mms,has_defect
PP-00080,2024-01-09,주간,A라인,PRD-003,42.6,4.66,2991.0,211.1,16.9,0.281,0
PP-00081,2024-01-09,야간,A라인,PRD-003,50.2,5.71,2694.0,183.7,15.6,0.573,0
PP-00082,2024-01-09,야간,A라인,PRD-003,40.6,4.67,3170.0,217.2,17.5,1.569,0
PP-00083,2024-01-09,주간,B라인,PRD-006,,4.49,2645.0,202.3,18.8,0.326,0
PP-00084,2024-01-09,주간,B라인,PRD-005,39.5,6.07,2875.0,189.8,13.8,0.722,0
PP-00085,2024-01-09,야간,B라인,PRD-006,38.0,5.53,2791.0,192.9,15.1,0.306,0
PP-00086,2024-01-09,야간,B라인,PRD-006,37.1,5.2,3278.0,163.6,14.0,0.68,0
PP-00087,2024-01-09,주간,C라인,PRD-005,40.1,5.41,3014.0,200.0,12.8,0.123,0
PP-00088,2024-01-09,주간,C라인,PRD-003,37.1,5.3,3018.0,222.0,19.2,0.147,0
PP-00089,2024-01-09,야간,C라인,PRD-003,40.5,4.59,2932.0,193.1,12.9,0.229,0
PP-00090,2024-01-09,야간,C라인,PRD-003,40.8,5.09,2884.0,210.7,15.9,0.648,0
PP-00091,2024-01-10,주간,A라인,PRD-001,36.1,5.68,3349.0,191.5,15.2,0.368,0
PP-00092,2024-01-10,주간,A라인,PRD-001,38.8,5.6,2927.0,204.0,17.0,0.268,0
PP-00093,2024-01-10,야간,A라인,PRD-003,36.9,3.73,2840.0,189.4,16.1,,0
PP-00094,2024-01-10,야간,A라인,PRD-001,43.4,5.05,2847.0,189.0,15.3,0.388,1
PP-00095,2024-01-10,주간,B라인,PRD-006,41.1,4.2,3085.0,177.5,14.7,0.363,0
PP-00096,2024-01-10,주간,B라인,PRD-005,36.9,4.63,3058.0,208.9,14.2,0.586,0
PP-00097,2024-01-10,야간,B라인,PRD-006,41.1,5.31,2956.0,169.4,12.7,0.239,0
PP-00098,2024-01-10,야간,B라인,PRD-006,38.4,5.35,2816.0,180.2,13.3,0.732,0
PP-00099,2024-01-10,주간,C라인,PRD-003,41.8,4.45,3189.0,215.3,17.1,0.208,0
PP-00100,2024-01-10,주간,C라인,PRD-001,36.7,4.38,2885.0,222.4,19.0,0.109,0
PP-00101,2024-01-10,야간,C라인,PRD-003,36.6,5.28,3165.0,203.8,18.4,0.893,0
PP-00102,2024-01-10,야간,C라인,PRD-005,40.3,5.06,3090.0,227.9,15.6,0.301,0
PP-00103,2024-01-11,주간,A라인,PRD-001,45.8,5.03,2829.0,202.3,13.9,0.611,0
PP-00104,2024-01-11,주간,A라인,PRD-001,41.7,4.88,3276.0,188.8,15.7,0.681,0
PP-00105,2024-01-11,야간,A라인,PRD-003,41.0,5.28,3167.0,191.6,13.1,0.293,0
PP-00106,2024-01-11,야간,A라인,PRD-004,44.8,5.51,3223.0,181.9,17.8,0.763,0
PP-00107,2024-01-11,주간,B라인,PRD-002,39.4,4.73,2943.0,202.4,14.2,0.951,0
PP-00108,2024-01-11,주간,B라인,PRD-006,36.4,4.64,2915.0,194.0,18.9,0.158,0
PP-00109,2024-01-11,야간,B라인,PRD-006,40.3,5.01,2918.0,206.7,13.3,0.468,0
PP-00110,2024-01-11,야간,B라인,PRD-002,38.8,4.3,2906.0,190.9,15.4,0.503,0
PP-00111,2024-01-11,주간,C라인,PRD-001,,4.95,2886.0,194.7,16.5,0.49,0
PP-00112,2024-01-11,주간,C라인,PRD-005,43.3,5.57,2808.0,231.9,14.7,0.225,0
PP-00113,2024-01-11,야간,C라인,PRD-003,41.2,4.03,3214.0,200.0,12.6,0.351,1
PP-00114,2024-01-11,야간,C라인,PRD-001,35.0,5.07,3066.0,194.8,13.9,0.988,0
PP-00115,2024-01-12,주간,A라인,PRD-001,40.7,3.93,3166.0,185.0,14.4,0.834,0
PP-00116,2024-01-12,주간,A라인,PRD-003,36.9,5.15,3099.0,204.9,13.9,0.415,0
PP-00117,2024-01-12,야간,A라인,PRD-003,38.8,5.17,3186.0,185.4,15.5,0.429,0
PP-00118,2024-01-12,야간,A라인,PRD-003,41.5,4.35,2896.0,205.8,11.4,0.572,0
PP-00119,2024-01-12,주간,B라인,PRD-002,36.5,4.88,2994.0,203.2,15.1,0.71,0
PP-00120,2024-01-12,주간,B라인,PRD-006,36.8,5.68,3257.0,193.6,15.7,0.735,0
PP-00121,2024-01-12,야간,B라인,PRD-002,38.0,5.27,3183.0,207.3,15.6,0.361,0
PP-00122,2024-01-12,야간,B라인,PRD-002,37.7,4.65,3012.0,220.2,17.0,0.211,0
PP-00123,2024-01-12,주간,C라인,PRD-005,38.8,4.38,2890.0,200.4,16.0,0.416,0
PP-00124,2024-01-12,주간,C라인,PRD-003,40.5,4.67,3384.0,193.3,14.4,0.365,0
PP-00125,2024-01-12,야간,C라인,PRD-003,42.8,5.43,2896.0,194.5,15.0,0.374,0
PP-00126,2024-01-12,야간,C라인,PRD-001,37.5,4.7,2722.0,198.9,16.2,0.259,0
PP-00127,2024-01-13,주간,A라인,PRD-004,46.9,4.51,2613.0,194.9,16.0,0.294,0
PP-00128,2024-01-13,주간,A라인,PRD-004,40.2,5.63,3160.0,210.9,16.3,0.376,0
PP-00129,2024-01-13,주간,B라인,PRD-006,36.8,5.34,3169.0,165.9,17.8,0.131,0
PP-00130,2024-01-13,주간,B라인,PRD-002,35.4,4.64,3204.0,175.4,16.9,0.128,0
PP-00131,2024-01-13,주간,C라인,PRD-001,42.7,5.31,3630.0,188.4,15.1,0.203,0
PP-00132,2024-01-13,주간,C라인,PRD-003,44.1,4.58,3114.0,199.6,17.9,0.277,0
PP-00133,2024-01-15,주간,A라인,PRD-003,41.6,4.18,3108.0,214.3,16.6,0.615,0
PP-00134,2024-01-15,주간,A라인,PRD-003,42.0,4.59,3090.0,182.6,15.7,0.419,0
PP-00135,2024-01-15,야간,A라인,PRD-004,45.7,5.14,3094.0,208.7,13.7,0.612,0
PP-00136,2024-01-15,야간,A라인,PRD-003,44.4,5.15,2842.0,167.8,13.7,0.84,0
PP-00137,2024-01-15,주간,B라인,PRD-005,40.2,5.27,2593.0,203.4,9.7,0.32,0
PP-00138,2024-01-15,주간,B라인,PRD-002,41.2,4.28,2971.0,211.9,11.7,0.311,0
PP-00139,2024-01-15,야간,B라인,PRD-005,34.4,4.96,2922.0,214.3,16.4,0.21,0
PP-00140,2024-01-15,야간,B라인,PRD-006,37.1,5.73,3279.0,187.3,16.8,1.111,0
PP-00141,2024-01-15,주간,C라인,PRD-003,41.2,4.5,3139.0,221.9,15.2,0.153,0
PP-00142,2024-01-15,주간,C라인,PRD-001,40.6,4.87,2989.0,195.2,13.7,0.147,0
PP-00143,2024-01-15,야간,C라인,PRD-001,37.0,5.36,3141.0,194.1,15.6,0.227,0
PP-00144,2024-01-15,야간,C라인,PRD-005,38.0,5.3,3231.0,188.5,15.9,0.552,1
PP-00145,2024-01-16,주간,A라인,PRD-001,41.6,5.2,2914.0,189.7,13.9,0.274,0
PP-00146,2024-01-16,주간,A라인,PRD-004,41.9,5.9,2787.0,180.5,14.1,0.323,0
PP-00147,2024-01-16,야간,A라인,PRD-003,47.3,5.88,3060.0,219.2,17.0,0.493,0
PP-00148,2024-01-16,야간,A라인,PRD-001,42.7,5.35,3085.0,162.6,15.1,0.353,0
PP-00149,2024-01-16,주간,B라인,PRD-002,36.0,5.71,3329.0,235.9,15.4,0.498,0
PP-00150,2024-01-16,주간,B라인,PRD-002,39.6,5.35,3060.0,196.2,15.7,,0
PP-00151,2024-01-16,야간,B라인,PRD-005,41.2,5.25,2459.0,219.9,12.7,0.487,0
PP-00152,2024-01-16,야간,B라인,PRD-005,38.7,5.74,3076.0,190.1,13.4,0.246,0
PP-00153,2024-01-16,주간,C라인,PRD-003,40.2,5.23,3087.0,203.7,15.1,0.121,0
PP-00154,2024-01-16,주간,C라인,PRD-001,38.5,4.9,2770.0,213.6,14.0,0.181,0
PP-00155,2024-01-16,야간,C라인,PRD-003,38.9,5.37,2916.0,203.3,14.9,0.118,0
PP-00156,2024-01-16,야간,C라인,PRD-001,41.9,5.47,2802.0,176.4,11.3,0.117,0
PP-00157,2024-01-17,주간,A라인,PRD-004,38.6,5.49,3006.0,217.9,14.7,0.44,0
PP-00158,2024-01-17,주간,A라인,PRD-003,34.3,5.12,3213.0,193.7,14.5,0.348,0
PP-00159,2024-01-17,야간,A라인,PRD-003,46.7,5.58,2862.0,183.5,13.9,0.323,0
PP-00160,2024-01-17,야간,A라인,PRD-004,45.8,4.24,2762.0,188.4,15.9,0.448,0
PP-00161,2024-01-17,주간,B라인,PRD-002,40.5,5.27,3076.0,185.3,11.0,0.158,0
PP-00162,2024-01-17,주간,B라인,PRD-005,40.4,3.98,2891.0,173.6,14.5,0.188,0
PP-00163,2024-01-17,야간,B라인,PRD-002,38.9,5.96,3189.0,156.2,15.5,0.82,0
PP-00164,2024-01-17,야간,B라인,PRD-006,41.2,4.67,3149.0,225.0,13.4,0.206,1
PP-00165,2024-01-17,주간,C라인,PRD-001,39.1,4.84,2849.0,189.9,16.0,0.291,0
PP-00166,2024-01-17,주간,C라인,PRD-003,38.6,5.47,3014.0,213.9,12.9,0.157,1
PP-00167,2024-01-17,야간,C라인,PRD-003,39.3,4.78,3464.0,239.0,19.1,0.575,0
PP-00168,2024-01-17,야간,C라인,PRD-001,40.6,6.4,3385.0,209.9,14.1,1.212,0
PP-00169,2024-01-18,주간,A라인,PRD-001,39.6,5.15,3006.0,176.8,18.3,0.658,0
PP-00170,2024-01-18,주간,A라인,PRD-004,48.6,4.76,3198.0,163.3,16.8,0.278,0
PP-00171,2024-01-18,야간,A라인,PRD-003,43.3,4.56,2833.0,201.7,16.0,0.253,0
PP-00172,2024-01-18,야간,A라인,PRD-003,39.1,4.86,2901.0,181.0,12.4,0.397,0
PP-00173,2024-01-18,주간,B라인,PRD-002,35.2,4.29,2893.0,204.4,13.8,0.648,0
PP-00174,2024-01-18,주간,B라인,PRD-002,38.6,5.06,3040.0,212.3,15.7,0.71,0
PP-00175,2024-01-18,야간,B라인,PRD-002,38.9,5.14,2856.0,163.7,15.1,0.508,0
PP-00176,2024-01-18,야간,B라인,PRD-005,36.4,5.6,2828.0,207.1,14.6,0.314,1
PP-00177,2024-01-18,주간,C라인,PRD-001,36.3,5.02,2970.0,206.6,,0.218,0
PP-00178,2024-01-18,주간,C라인,PRD-005,39.8,4.87,3455.0,171.6,14.1,0.518,0
PP-00179,2024-01-18,야간,C라인,PRD-001,41.9,4.62,3023.0,182.0,12.6,0.839,0
PP-00180,2024-01-18,야간,C라인,PRD-003,40.1,5.0,2941.0,192.8,17.1,0.431,0
PP-00181,2024-01-19,주간,A라인,PRD-003,43.0,5.65,2737.0,207.1,13.7,0.398,0
PP-00182,2024-01-19,주간,A라인,PRD-003,39.2,5.06,2605.0,194.7,13.3,0.5,0
PP-00183,2024-01-19,야간,A라인,PRD-003,39.8,5.15,2841.0,197.6,17.8,,0
PP-00184,2024-01-19,야간,A라인,PRD-003,43.5,6.17,2928.0,213.1,15.4,0.676,0
PP-00185,2024-01-19,주간,B라인,PRD-006,37.1,5.59,2850.0,205.4,16.2,0.177,0
PP-00186,2024-01-19,주간,B라인,PRD-005,35.7,5.6,3016.0,198.7,14.4,0.602,0
PP-00187,2024-01-19,야간,B라인,PRD-002,38.2,3.73,3026.0,182.3,13.1,0.289,0
PP-00188,2024-01-19,야간,B라인,PRD-005,43.2,4.18,2895.0,191.3,11.9,0.32,0
PP-00189,2024-01-19,주간,C라인,PRD-003,39.9,5.65,3150.0,207.0,17.4,0.348,0
PP-00190,2024-01-19,주간,C라인,PRD-001,43.4,4.59,2806.0,180.7,16.0,0.118,0
PP-00191,2024-01-19,야간,C라인,PRD-001,38.2,4.54,3110.0,181.8,16.4,0.366,0
PP-00192,2024-01-19,야간,C라인,PRD-005,36.7,5.3,3057.0,223.5,16.1,0.69,1
PP-00193,2024-01-20,주간,A라인,PRD-001,41.4,5.03,3090.0,232.1,15.8,0.38,0
PP-00194,2024-01-20,주간,A라인,PRD-003,44.9,4.96,2492.0,175.0,16.7,0.802,1
PP-00195,2024-01-20,주간,B라인,PRD-002,38.8,5.38,2912.0,208.7,18.5,0.106,0
PP-00196,2024-01-20,주간,B라인,PRD-005,35.3,5.04,3260.0,179.9,15.1,1.067,0
PP-00197,2024-01-20,주간,C라인,PRD-003,35.5,4.69,2844.0,198.4,12.6,0.378,0
PP-00198,2024-01-20,주간,C라인,PRD-001,38.1,5.23,3144.0,189.7,13.7,0.202,0
PP-00199,2024-01-22,주간,A라인,PRD-004,43.1,5.7,3125.0,202.2,15.9,0.53,0
PP-00200,2024-01-22,주간,A라인,PRD-001,46.2,5.27,3347.0,180.3,15.4,0.541,1
PP-00201,2024-01-22,야간,A라인,PRD-004,43.4,5.83,3233.0,212.1,14.9,0.45,0
PP-00202,2024-01-22,야간,A라인,PRD-004,37.8,4.88,3037.0,195.0,15.2,0.575,0
PP-00203,2024-01-22,주간,B라인,PRD-002,39.6,5.59,3205.0,223.0,14.1,0.954,0
PP-00204,2024-01-22,주간,B라인,PRD-005,38.3,4.92,3079.0,203.6,15.4,0.117,0
PP-00205,2024-01-22,야간,B라인,PRD-006,38.7,5.7,2601.0,206.3,13.9,0.122,0
PP-00206,2024-01-22,야간,B라인,PRD-006,36.5,4.1,2885.0,213.7,15.2,0.418,0
PP-00207,2024-01-22,주간,C라인,PRD-005,35.2,5.69,2791.0,164.6,16.1,0.188,0
PP-00208,2024-01-22,주간,C라인,PRD-001,40.2,4.45,3210.0,230.9,15.1,0.117,0
PP-00209,2024-01-22,야간,C라인,PRD-001,42.2,3.49,2664.0,208.0,10.9,0.35,1
PP-00210,2024-01-22,야간,C라인,PRD-001,37.5,4.64,3180.0,218.1,16.6,0.246,0
PP-00211,2024-01-23,주간,A라인,PRD-003,41.2,4.37,2946.0,213.6,19.5,0.271,0
PP-00212,2024-01-23,주간,A라인,PRD-004,46.7,5.33,2899.0,272.5,14.6,0.907,1
PP-00213,2024-01-23,야간,A라인,PRD-003,37.6,5.38,2963.0,179.6,17.9,0.405,0
PP-00214,2024-01-23,야간,A라인,PRD-003,41.5,4.37,3510.0,190.9,15.0,0.399,0
PP-00215,2024-01-23,주간,B라인,PRD-005,36.8,4.81,3202.0,180.9,14.5,0.5,1
PP-00216,2024-01-23,주간,B라인,PRD-005,,5.87,3408.0,192.1,14.3,0.532,0
PP-00217,2024-01-23,야간,B라인,PRD-005,37.1,5.33,3023.0,199.1,13.1,0.9,0
PP-00218,2024-01-23,야간,B라인,PRD-002,36.0,5.41,2711.0,196.9,15.8,0.621,0
PP-00219,2024-01-23,주간,C라인,PRD-001,38.4,4.66,3112.0,190.2,,0.222,0
PP-00220,2024-01-23,주간,C라인,PRD-001,36.2,4.65,2911.0,222.3,15.9,0.144,0
PP-00221,2024-01-23,야간,C라인,PRD-003,37.0,6.04,2754.0,209.9,16.1,0.158,0
PP-00222,2024-01-23,야간,C라인,PRD-003,40.9,4.6,2671.0,203.4,17.1,0.112,0
PP-00223,2024-01-24,주간,A라인,PRD-004,46.1,5.41,2977.0,208.8,11.7,,0
PP-00224,2024-01-24,주간,A라인,PRD-001,35.6,4.71,2903.0,237.3,14.6,1.751,0
PP-00225,2024-01-24,야간,A라인,PRD-001,40.2,4.54,3053.0,208.2,14.9,0.279,0
PP-00226,2024-01-24,야간,A라인,PRD-004,45.2,5.44,2839.0,173.7,13.0,0.516,0
PP-00227,2024-01-24,주간,B라인,PRD-002,37.8,4.81,3051.0,193.8,15.2,1.322,0
PP-00228,2024-01-24,주간,B라인,PRD-002,39.7,4.46,3361.0,170.7,14.2,0.141,0
PP-00229,2024-01-24,야간,B라인,PRD-005,36.4,5.17,2809.0,185.0,14.4,0.157,0
PP-00230,2024-01-24,야간,B라인,PRD-002,37.5,5.31,3061.0,203.8,15.0,0.158,0
PP-00231,2024-01-24,주간,C라인,PRD-001,,4.97,3234.0,194.9,16.4,0.106,0
PP-00232,2024-01-24,주간,C라인,PRD-001,40.3,3.98,2814.0,239.6,18.4,0.213,0
PP-00233,2024-01-24,야간,C라인,PRD-003,38.2,5.37,3267.0,213.1,14.9,0.162,0
PP-00234,2024-01-24,야간,C라인,PRD-001,37.4,4.57,2678.0,220.8,12.2,0.125,0
PP-00235,2024-01-25,주간,A라인,PRD-003,47.6,5.73,2767.0,220.1,13.4,0.385,0
PP-00236,2024-01-25,주간,A라인,PRD-003,39.6,5.9,3197.0,216.9,15.3,0.403,0
PP-00237,2024-01-25,야간,A라인,PRD-004,42.4,4.95,2980.0,195.7,13.5,1.08,0
PP-00238,2024-01-25,야간,A라인,PRD-001,42.6,5.04,2819.0,208.0,16.1,0.449,0
PP-00239,2024-01-25,주간,B라인,PRD-006,39.6,4.81,3052.0,178.4,17.9,0.164,0
PP-00240,2024-01-25,주간,B라인,PRD-005,39.9,4.74,3257.0,196.0,16.7,0.836,0
PP-00241,2024-01-25,야간,B라인,PRD-005,39.3,4.78,2966.0,202.6,13.1,0.267,0
PP-00242,2024-01-25,야간,B라인,PRD-002,38.9,5.61,2905.0,204.1,12.7,0.369,0
PP-00243,2024-01-25,주간,C라인,PRD-005,39.5,5.7,2883.0,211.0,16.7,0.418,0
PP-00244,2024-01-25,주간,C라인,PRD-005,41.6,5.57,3071.0,172.4,13.6,0.822,0
PP-00245,2024-01-25,야간,C라인,PRD-001,40.8,4.84,3148.0,150.7,16.9,0.556,0
PP-00246,2024-01-25,야간,C라인,PRD-003,37.3,4.37,3214.0,183.3,12.0,0.206,0
PP-00247,2024-01-26,주간,A라인,PRD-003,42.6,6.04,2634.0,144.9,16.5,0.93,0
PP-00248,2024-01-26,주간,A라인,PRD-003,37.3,4.51,3151.0,234.3,15.8,0.432,0
PP-00249,2024-01-26,야간,A라인,PRD-001,38.7,4.69,2795.0,211.7,13.3,0.343,0
PP-00250,2024-01-26,야간,A라인,PRD-003,36.0,5.25,3133.0,210.7,14.9,0.844,0
PP-00251,2024-01-26,주간,B라인,PRD-002,35.7,4.77,2581.0,171.1,17.2,0.178,0
PP-00252,2024-01-26,주간,B라인,PRD-002,39.0,4.78,2774.0,181.6,14.0,0.262,0
PP-00253,2024-01-26,야간,B라인,PRD-005,35.2,5.51,3243.0,213.1,16.2,0.225,0
PP-00254,2024-01-26,야간,B라인,PRD-002,38.1,4.94,3136.0,205.3,,0.219,0
PP-00255,2024-01-26,주간,C라인,PRD-003,34.2,5.45,2683.0,178.5,12.4,0.444,0
PP-00256,2024-01-26,주간,C라인,PRD-005,40.9,5.03,2767.0,194.4,12.9,0.537,0
PP-00257,2024-01-26,야간,C라인,PRD-001,41.4,4.73,3308.0,191.8,18.4,0.48,0
PP-00258,2024-01-26,야간,C라인,PRD-003,37.4,4.18,3154.0,210.6,17.7,0.396,0
PP-00259,2024-01-27,주간,A라인,PRD-003,43.2,5.1,2911.0,165.6,17.2,1.002,0
PP-00260,2024-01-27,주간,A라인,PRD-004,43.1,5.36,2907.0,219.1,16.4,0.347,0
PP-00261,2024-01-27,주간,B라인,PRD-006,39.9,5.31,3105.0,199.9,12.0,0.271,0
PP-00262,2024-01-27,주간,B라인,PRD-002,39.3,3.9,3329.0,175.7,,0.255,0
